param_C,param_gamma,param_q_lower,param_q_upper,val.PICP,val.MPIW,test.PICP,test.MPIW,param_gamma_str
64,3.0517578125e-05,0.025,0.975,0.8905109489051095,42.19832643124612,0.9562043795620438,42.198136574411464,2^-15
64,6.103515625e-05,0.025,0.975,0.8905109489051095,42.196653635360484,0.9562043795620438,42.19627392232955,2^-14
64,0.0001220703125,0.025,0.975,0.8905109489051095,42.19330612449942,0.9562043795620438,42.19254670346858,2^-13
64,0.000244140625,0.025,0.975,0.8905109489051095,42.18661302075265,0.9562043795620438,42.18509419626635,2^-12
64,0.00048828125,0.025,0.975,0.8905109489051095,42.17322751883127,0.9562043795620438,42.170189955415154,2^-11
64,0.0009765625,0.025,0.975,0.8905109489051095,42.08677477050457,0.9562043795620438,42.08120312940686,2^-10
64,0.001953125,0.025,0.975,0.8905109489051095,42.02218231904735,0.9562043795620438,42.012824278956394,2^-9
64,0.00390625,0.025,0.975,0.8905109489051095,41.98904911046597,0.9562043795620438,41.975730801062774,2^-8
64,0.0078125,0.025,0.975,0.8832116788321168,41.88923561089819,0.9562043795620438,41.86941447265473,2^-7
64,0.015625,0.025,0.975,0.8832116788321168,41.618913702006125,0.9562043795620438,41.599949796087564,2^-6
64,0.03125,0.025,0.975,0.8832116788321168,40.99659766795352,0.9562043795620438,41.00017140395708,2^-5
64,0.0625,0.025,0.975,0.8832116788321168,40.57248581446999,0.9635036496350365,40.59574135852392,2^-4
64,0.125,0.025,0.975,0.8832116788321168,40.379885983568634,0.9635036496350365,40.404443286210046,2^-3
64,0.25,0.025,0.975,0.9051094890510949,38.82689957212829,0.9635036496350365,38.91359289986307,2^-2
64,0.5,0.025,0.975,0.8978102189781022,37.832483034420726,0.9562043795620438,37.75421016109996,2^-1
64,1.0,0.025,0.975,0.9051094890510949,37.33006564168799,0.9635036496350365,37.16415079362298,2^0
64,2.0,0.025,0.975,0.8905109489051095,37.007261144519966,0.9416058394160584,36.661856853258094,2^1
64,4.0,0.025,0.975,0.8978102189781022,37.06876463942286,0.948905109489051,36.53999847717549,2^2
64,8.0,0.025,0.975,0.8759124087591241,35.60867893264743,0.948905109489051,35.03922540263468,2^3
64,16.0,0.025,0.975,0.8905109489051095,35.17148215671355,0.948905109489051,34.60366926548172,2^4
64,32.0,0.025,0.975,0.8905109489051095,34.60642771475852,0.9416058394160584,33.67942924664705,2^5
64,64.0,0.025,0.975,0.8613138686131386,33.60075885351858,0.9124087591240876,32.78253296544235,2^6
64,128.0,0.025,0.975,0.8248175182481752,31.926769550046544,0.8686131386861314,30.96620751146971,2^7
64,256.0,0.025,0.975,0.8029197080291971,29.18032634588887,0.8321167883211679,28.453161839605194,2^8
64,512.0,0.025,0.975,0.7299270072992701,26.150881027998185,0.7518248175182481,25.71065302907781,2^9
64,1024.0,0.025,0.975,0.6496350364963503,22.91021097861077,0.6423357664233577,21.897297693636283,2^10
64,2048.0,0.025,0.975,0.5766423357664233,20.0100453766659,0.5182481751824818,17.719714957172034,2^11
64,4096.0,0.025,0.975,0.48905109489051096,17.260832374957918,0.43795620437956206,14.51389041321646,2^12
64,8192.0,0.025,0.975,0.40875912408759124,14.58222945174229,0.36496350364963503,11.784971185982586,2^13
64,16384.0,0.025,0.975,0.291970802919708,11.117035382039923,0.2846715328467153,8.9753090190378,2^14
64,32768.0,0.025,0.975,0.1678832116788321,7.524342583013413,0.18248175182481752,5.960930853378389,2^15
