HH-pol,HV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,NDVI,SM1 (%),Crop Name,label
-9.3094,-17.0018,7.692350000000001,1.2246467991473532e-16,-1.0,5,0.1855139285326004,8.2,Fallow,Low
-8.1032,-15.8824,7.7791000000000015,1.2246467991473532e-16,-1.0,19,0.7043031454086304,44.8,Perl Millet,Very High
-9.6234,-17.1517,7.52829,1.2246467991473532e-16,-1.0,5,0.1678126752376556,6.0,Fallow,Low
-9.9493,-19.3764,9.427109999999999,1.2246467991473532e-16,-1.0,17,0.2007668018341064,5.7,Ortho,Low
-6.8065,-17.5908,10.78425,1.2246467991473532e-16,-1.0,5,0.2795164585113525,2.7,Fallow,Low
-9.7864,-10.7938,1.0073800000000013,1.2246467991473532e-16,-1.0,19,0.7071754336357117,37.4,Perl Millet,High
-8.4439,-15.3319,6.88799,1.2246467991473532e-16,-1.0,19,0.6216261982917786,27.3,Perl Millet,High
-8.7523,-18.9309,10.17858,1.2246467991473532e-16,-1.0,19,0.6952751874923706,15.2,Perl Millet,Medium
-12.4792,-18.1242,5.645060000000001,1.2246467991473532e-16,-1.0,19,0.68604576587677,9.1,Perl Millet,Low
-9.488,-14.6461,5.15808,1.2246467991473532e-16,-1.0,19,0.7100813388824463,26.9,Perl Millet,High
-7.9306,-19.2929,11.362379999999998,1.2246467991473532e-16,-1.0,5,0.1968420147895813,3.8,Fallow,Low
-10.3505,-17.0513,6.7008600000000005,1.2246467991473532e-16,-1.0,5,0.1735771149396896,4.7,Fallow,Low
-10.0614,-19.1301,9.068760000000001,1.2246467991473532e-16,-1.0,5,0.1398393213748932,5.0,Fallow,Low
-12.0598,-19.2942,7.234429999999998,1.2246467991473532e-16,-1.0,5,0.1445223093032837,2.1,Fallow,Low
-10.307,-19.4512,9.144189999999998,1.2246467991473532e-16,-1.0,5,0.158734917640686,2.4,Fallow,Low
-12.8257,-21.2937,8.467939999999999,1.2246467991473532e-16,-1.0,5,0.1741911321878433,12.6,Fallow,Medium
-10.2204,-19.0692,8.84878,1.2246467991473532e-16,-1.0,5,0.1524480432271957,5.0,Fallow,Low
-8.6176,-20.4201,11.802560000000001,1.2246467991473532e-16,-1.0,5,0.2129178643226623,6.8,Fallow,Low
-12.736,-17.8405,5.104570000000001,1.2246467991473532e-16,-1.0,5,0.4003955125808716,6.2,Fallow,Low
-12.2253,-22.5436,10.318249999999999,1.2246467991473532e-16,-1.0,5,0.191322386264801,5.83333333333333,Fallow,Low
-10.9257,-15.4992,4.573510000000001,1.2246467991473532e-16,-1.0,5,0.1443146467208862,6.3,Fallow,Low
-12.6588,-16.4699,3.8110899999999983,1.2246467991473532e-16,-1.0,5,0.1299549788236618,3.8,Fallow,Low
-12.5712,-20.6638,8.09262,1.2246467991473532e-16,-1.0,5,0.1184008195996284,6.3,Fallow,Low
-12.6319,-15.3424,2.7105300000000003,1.2246467991473532e-16,-1.0,5,0.1490397155284881,7.0,Fallow,Low
-13.0212,-15.6957,2.67445,1.2246467991473532e-16,-1.0,5,0.1283114701509475,7.6,Fallow,Low
-11.5463,-13.2147,1.6683900000000005,1.2246467991473532e-16,-1.0,5,0.1748446524143219,8.7,Fallow,Low
-10.5884,-15.8536,5.2652,1.2246467991473532e-16,-1.0,5,0.1745884120464325,5.0,Fallow,Low
-8.4251,-17.4077,8.98256,1.2246467991473532e-16,-1.0,5,0.1140031218528747,4.0,Fallow,Low
-12.0299,-15.6005,3.5705600000000004,1.2246467991473532e-16,-1.0,5,0.1411439627408981,3.4,Fallow,Low
-13.0662,-14.9699,1.9037600000000001,1.2246467991473532e-16,-1.0,5,0.1291329860687255,5.3,Fallow,Low
-12.0468,-19.2503,7.203529999999999,1.2246467991473532e-16,-1.0,5,0.186956524848938,2.4,Fallow,Low
-8.4518,-17.3178,8.86595,1.2246467991473532e-16,-1.0,5,0.1393491923809051,6.8,Fallow,Low
-9.3763,-19.002,9.62567,1.2246467991473532e-16,-1.0,5,0.1729003489017486,3.0,Fallow,Low
-8.8462,-15.8138,6.967600000000001,1.2246467991473532e-16,-1.0,5,0.1652439087629318,4.3,Fallow,Low
-9.5058,-15.5643,6.058529999999999,1.2246467991473532e-16,-1.0,5,0.1535812318325042,3.03333333333333,Fallow,Low
-7.2449,-18.3496,11.10472,1.2246467991473532e-16,-1.0,5,0.1447056233882904,3.6,Fallow,Low
-9.5581,-16.2539,6.6957499999999985,1.2246467991473532e-16,-1.0,5,0.2932208478450775,4.2,Fallow,Low
-12.9185,-19.121,6.20242,1.2246467991473532e-16,-1.0,5,0.1318209767341613,6.0,Fallow,Low
-10.3566,-17.4317,7.075090000000001,1.2246467991473532e-16,-1.0,5,0.1611585021018982,2.3,Fallow,Low
-11.8979,-19.2782,7.380289999999999,1.2246467991473532e-16,-1.0,5,0.157390221953392,4.53333333333333,Fallow,Low
-7.0813,-15.5744,8.49314,1.2246467991473532e-16,-1.0,5,0.1917093247175216,2.6,Fallow,Low
-9.9969,-18.6641,8.66719,1.2246467991473532e-16,-1.0,5,0.2970867156982422,2.4,Fallow,Low
-9.6124,-16.5973,6.984849999999998,1.2246467991473532e-16,-1.0,5,0.323417067527771,2.8,Fallow,Low
-9.8358,-15.6172,5.781409999999999,1.2246467991473532e-16,-1.0,5,0.3677308261394501,32.1,Fallow,High
-9.1546,-14.6485,5.49385,1.2246467991473532e-16,-1.0,5,0.163132756948471,5.86666666666667,Fallow,Low
-5.9622,-16.0004,10.038160000000001,1.2246467991473532e-16,-1.0,5,0.1222311705350875,14.4,Fallow,Medium
-7.3993,-16.9943,9.595019999999998,1.2246467991473532e-16,-1.0,5,0.1248625814914703,23.3,Fallow,Medium
-12.4412,-18.0734,5.632250000000001,1.2246467991473532e-16,-1.0,5,0.1651390939950943,4.3,Fallow,Low
-9.0602,-20.2811,11.22089,1.2246467991473532e-16,-1.0,5,0.1319977343082428,40.6,Fallow,High
-10.5291,-19.32,8.790880000000001,1.2246467991473532e-16,-1.0,5,0.1328127533197403,25.4666666666667,Fallow,High
-9.954,-12.7377,2.7836299999999987,1.2246467991473532e-16,-1.0,5,0.766296923160553,4.5,Fallow,Low
-9.4895,-17.5486,8.059099999999999,1.2246467991473532e-16,-1.0,3,0.2993646264076233,52.2,Dalia,Very High
-10.7659,-18.8,8.0341,1.2246467991473532e-16,-1.0,19,0.2326504737138748,25.1,Perl Millet,High
-12.1001,-13.8023,1.7021999999999995,1.2246467991473532e-16,-1.0,11,0.2218731194734573,17.2,Jowar,Medium
-10.9171,-19.1987,8.281579999999998,1.2246467991473532e-16,-1.0,5,0.7958741188049316,5.2,Fallow,Low
-7.8157,-18.9431,11.12737,1.2246467991473532e-16,-1.0,5,0.1432559788227081,4.8,Fallow,Low
-6.5977,-18.3928,11.79515,1.2246467991473532e-16,-1.0,5,0.26277756690979,27.4,Fallow,High
-10.1896,-14.5075,4.317879999999999,1.2246467991473532e-16,-1.0,5,0.5982919931411743,37.3,Fallow,High
-9.9689,-15.2461,5.277249999999999,1.2246467991473532e-16,-1.0,5,0.3575413227081299,8.2,Fallow,Low
-12.613,-20.1716,7.558589999999999,1.2246467991473532e-16,-1.0,5,0.1890848278999328,5.86666666666667,Fallow,Low
-13.3849,-19.7357,6.35084,1.2246467991473532e-16,-1.0,5,0.2779066562652588,4.1,Fallow,Low
-9.3674,-16.3651,6.997669999999999,1.2246467991473532e-16,-1.0,5,0.190759539604187,3.5,Fallow,Low
-8.8645,-15.5614,6.696910000000001,1.2246467991473532e-16,-1.0,5,0.2620005011558532,4.0,Fallow,Low
-10.8119,-15.7744,4.96246,1.2246467991473532e-16,-1.0,5,0.1514265090227127,3.8,Fallow,Low
-12.775,-17.4072,4.6322399999999995,1.2246467991473532e-16,-1.0,5,0.1477111876010894,5.13333333333333,Fallow,Low
-9.9245,-18.7951,8.87057,1.2246467991473532e-16,-1.0,5,0.1680389791727066,3.6,Fallow,Low
-11.6508,-17.9291,6.278319999999999,1.2246467991473532e-16,-1.0,5,0.1990088075399398,5.1,Fallow,Low
-12.5527,-17.3999,4.847209999999999,1.2246467991473532e-16,-1.0,5,0.1549205631017685,16.0,Fallow,Medium
-8.4238,-19.055,10.63116,1.2246467991473532e-16,-1.0,5,0.2454670816659927,2.8,Fallow,Low
-10.1243,-19.8444,9.720030000000001,1.2246467991473532e-16,-1.0,5,0.1722533851861953,10.7666666666667,Fallow,Medium
-8.6232,-17.7477,9.124490000000002,1.2246467991473532e-16,-1.0,5,0.2048896998167038,3.2,Fallow,Low
-13.384,-18.1786,4.794549999999999,1.2246467991473532e-16,-1.0,5,0.2538425624370575,6.5,Fallow,Low
-9.9394,-18.485,8.545639999999999,1.2246467991473532e-16,-1.0,5,0.1472425013780594,6.0,Fallow,Low
-12.5722,-19.6052,7.032950000000001,1.2246467991473532e-16,-1.0,5,0.2029559910297393,4.9,Fallow,Low
-11.5867,-22.1379,10.551260000000001,1.2246467991473532e-16,-1.0,5,0.1534554213285446,6.06666666666667,Fallow,Low
-11.8499,-18.4802,6.630339999999999,1.2246467991473532e-16,-1.0,5,0.2165727466344833,9.6,Fallow,Low
-10.2915,-16.8152,6.5236399999999986,1.2246467991473532e-16,-1.0,5,0.2720132172107696,3.4,Fallow,Low
-11.1849,-20.6861,9.501140000000001,1.2246467991473532e-16,-1.0,5,0.6714749336242676,21.8,Fallow,Medium
-9.2069,-19.934,10.72717,1.2246467991473532e-16,-1.0,5,0.3030792474746704,5.9,Fallow,Low
-9.8275,-20.4162,10.58874,1.2246467991473532e-16,-1.0,5,0.1856871992349624,4.6,Fallow,Low
-11.9066,-15.6542,3.7476000000000003,1.2246467991473532e-16,-1.0,5,0.3168925344944,3.9,Fallow,Low
-8.6275,-16.1248,7.497369999999998,1.2246467991473532e-16,-1.0,19,0.6003332734107971,21.5,Perl Millet,Medium
-10.2613,-17.7791,7.5177900000000015,1.2246467991473532e-16,-1.0,19,0.7144039273262024,15.8,Perl Millet,Medium
-9.5833,-15.2667,5.683389999999999,1.2246467991473532e-16,-1.0,5,0.3867734670639038,3.8,Fallow,Low
-10.8037,-16.1476,5.3439499999999995,1.2246467991473532e-16,-1.0,19,0.5989859700202942,23.8,Perl Millet,Medium
-11.4077,-16.7459,5.338169999999998,1.2246467991473532e-16,-1.0,5,0.2229012846946716,2.7,Fallow,Low
-10.6665,-18.7068,8.040310000000002,1.2246467991473532e-16,-1.0,5,0.1876034438610077,2.3,Fallow,Low
-10.4091,-19.0085,8.5994,1.2246467991473532e-16,-1.0,5,0.2714663743972778,3.8,Fallow,Low
-10.6445,-14.9134,4.268889999999999,1.2246467991473532e-16,-1.0,5,0.4160492718219757,4.4,Fallow,Low
-10.8531,-15.5749,4.721780000000001,1.2246467991473532e-16,-1.0,5,0.1876011192798614,3.03333333333333,Fallow,Low
-8.7154,-16.3323,7.616909999999999,1.2246467991473532e-16,-1.0,5,0.2036753445863723,5.2,Fallow,Low
-7.5916,-17.0072,9.41563,1.2246467991473532e-16,-1.0,19,0.5490517616271973,18.1,Perl Millet,Medium
-9.7773,-14.9913,5.214029999999999,1.2246467991473532e-16,-1.0,19,0.5049384236335754,14.3,Perl Millet,Medium
-9.9052,-15.8872,5.98207,1.2246467991473532e-16,-1.0,7,0.7284581661224365,10.0,Fodder,Medium
-7.9858,-13.5401,5.554239999999999,1.2246467991473532e-16,-1.0,19,0.6382055282592773,11.0666666666667,Perl Millet,Medium
