VH-pol,VV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,SM1 (%),Crop Name,label
-19.3557,-13.5461,-5.8096,1.2246467991473532e-16,-1.0,2,4.6,Fallow,Low
-17.1605,-10.4691,-6.6914,1.2246467991473532e-16,-1.0,13,7.2,Pearl Millet,Low
-17.8729,-9.98927,-7.883630000000002,1.2246467991473532e-16,-1.0,2,6.4,Fallow,Low
-17.7906,-11.9346,-5.856000000000002,1.2246467991473532e-16,-1.0,7,9.6,Lemon,Low
-17.3646,-10.7327,-6.6319,1.2246467991473532e-16,-1.0,2,3.9,Fallow,Low
-20.179,-12.6369,-7.542099999999998,1.2246467991473532e-16,-1.0,2,9.9,Fallow,Low
-18.3151,-11.1065,-7.208600000000001,1.2246467991473532e-16,-1.0,2,4.6,Fallow,Low
-17.4439,-10.222,-7.2219,1.2246467991473532e-16,-1.0,13,9.4,Pearl Millet,Low
-18.5871,-11.8398,-6.747299999999999,1.2246467991473532e-16,-1.0,13,5.6,Pearl Millet,Low
-18.369,-12.5258,-5.8431999999999995,1.2246467991473532e-16,-1.0,2,3.6333333333333333,Fallow,Low
-18.3568,-9.85463,-8.50217,1.2246467991473532e-16,-1.0,2,4.8,Fallow,Low
-19.1375,-12.3611,-6.776399999999999,1.2246467991473532e-16,-1.0,2,6.0,Fallow,Low
-17.2726,-11.5579,-5.714700000000001,1.2246467991473532e-16,-1.0,2,7.0,Fallow,Low
-18.5586,-10.7904,-7.768199999999998,1.2246467991473532e-16,-1.0,2,6.1,Fallow,Low
-18.7528,-11.6258,-7.127000000000001,1.2246467991473532e-16,-1.0,2,4.666666666666666,Fallow,Low
-19.9924,-12.1953,-7.7971,1.2246467991473532e-16,-1.0,2,5.6,Fallow,Low
-20.8285,-13.2891,-7.539399999999999,1.2246467991473532e-16,-1.0,2,6.0,Fallow,Low
-19.5959,-10.4823,-9.1136,1.2246467991473532e-16,-1.0,2,7.5,Fallow,Low
-17.1316,-10.9405,-6.191099999999999,1.2246467991473532e-16,-1.0,2,6.0,Fallow,Low
-20.7021,-12.418,-8.284100000000002,1.2246467991473532e-16,-1.0,2,4.233333333333333,Fallow,Low
-19.215,-11.586,-7.629,1.2246467991473532e-16,-1.0,2,4.5,Fallow,Low
-19.4059,-11.3702,-8.035699999999999,1.2246467991473532e-16,-1.0,2,4.4,Fallow,Low
-19.3264,-11.8751,-7.4513,1.2246467991473532e-16,-1.0,2,4.9,Fallow,Low
-18.7644,-11.1875,-7.576899999999998,1.2246467991473532e-16,-1.0,2,5.1,Fallow,Low
-19.1452,-10.9786,-8.166599999999999,1.2246467991473532e-16,-1.0,2,5.233333333333333,Fallow,Low
-18.0508,-10.5011,-7.5497,1.2246467991473532e-16,-1.0,2,3.1,Fallow,Low
-17.7971,-10.7217,-7.0754,1.2246467991473532e-16,-1.0,2,3.4,Fallow,Low
-18.7731,-10.2765,-8.496599999999999,1.2246467991473532e-16,-1.0,2,5.3,Fallow,Low
-18.4068,-12.4165,-5.990300000000001,1.2246467991473532e-16,-1.0,2,5.9,Fallow,Low
-18.4484,-11.2283,-7.220099999999999,1.2246467991473532e-16,-1.0,2,5.1,Fallow,Low
-19.2643,-10.5667,-8.697599999999998,1.2246467991473532e-16,-1.0,2,5.3,Fallow,Low
-17.672,-9.7187,-7.9533000000000005,1.2246467991473532e-16,-1.0,2,2.0,Fallow,Low
-18.426,-10.9651,-7.460899999999999,1.2246467991473532e-16,-1.0,2,5.6,Fallow,Low
-18.806,-11.1999,-7.606100000000001,1.2246467991473532e-16,-1.0,2,4.5,Fallow,Low
-18.3314,-12.2879,-6.043499999999998,1.2246467991473532e-16,-1.0,2,2.9,Fallow,Low
-18.2699,-11.5343,-6.7356,1.2246467991473532e-16,-1.0,2,4.4,Fallow,Low
-19.5135,-11.5082,-8.0053,1.2246467991473532e-16,-1.0,2,5.2,Fallow,Low
-18.4931,-9.81751,-8.675589999999998,1.2246467991473532e-16,-1.0,2,4.4,Fallow,Low
-18.8967,-10.9847,-7.911999999999999,1.2246467991473532e-16,-1.0,2,6.333333333333333,Fallow,Low
-18.7502,-11.5313,-7.2189,1.2246467991473532e-16,-1.0,2,5.9,Fallow,Low
-18.2951,-12.0155,-6.279600000000002,1.2246467991473532e-16,-1.0,2,9.6,Fallow,Low
-19.4342,-10.4312,-9.003,1.2246467991473532e-16,-1.0,2,10.6,Fallow,Low
-17.8061,-11.2779,-6.5282,1.2246467991473532e-16,-1.0,2,8.4,Fallow,Low
-19.1728,-11.2253,-7.947499999999998,1.2246467991473532e-16,-1.0,5,3.0,Jowar,Low
-22.5424,-12.1545,-10.3879,1.2246467991473532e-16,-1.0,2,5.2,Fallow,Low
-20.7219,-12.3306,-8.391300000000001,1.2246467991473532e-16,-1.0,2,3.6,Fallow,Low
-20.0113,-12.1021,-7.9091999999999985,1.2246467991473532e-16,-1.0,2,4.0,Fallow,Low
-21.8338,-12.6317,-9.2021,1.2246467991473532e-16,-1.0,2,14.3,Fallow,Medium
-21.9811,-12.0595,-9.921600000000002,1.2246467991473532e-16,-1.0,2,4.733333333333333,Fallow,Low
-18.1402,-12.5663,-5.5739,1.2246467991473532e-16,-1.0,2,8.8,Fallow,Low
-19.1513,-11.4172,-7.7341,1.2246467991473532e-16,-1.0,2,7.5,Fallow,Low
-19.576,-11.0103,-8.5657,1.2246467991473532e-16,-1.0,2,16.5,Fallow,Medium
-18.5322,-10.5402,-7.991999999999999,1.2246467991473532e-16,-1.0,2,5.1,Fallow,Low
-19.2907,-11.8609,-7.4298,1.2246467991473532e-16,-1.0,2,5.033333333333333,Fallow,Low
-19.7057,-11.8149,-7.8908000000000005,1.2246467991473532e-16,-1.0,2,10.1,Fallow,Low
-20.1477,-12.5277,-7.620000000000001,1.2246467991473532e-16,-1.0,2,4.0,Fallow,Low
-19.3053,-11.3072,-7.998099999999999,1.2246467991473532e-16,-1.0,2,10.9,Fallow,Low
-17.4265,-10.7271,-6.699400000000001,1.2246467991473532e-16,-1.0,2,12.1,Fallow,Medium
-19.9231,-10.9545,-8.968600000000002,1.2246467991473532e-16,-1.0,5,7.6,Jowar,Low
-21.3386,-13.1527,-8.1859,1.2246467991473532e-16,-1.0,2,4.5,Fallow,Low
-19.2902,-11.0875,-8.202699999999998,1.2246467991473532e-16,-1.0,2,9.2,Fallow,Low
-18.6875,-12.2219,-6.4656,1.2246467991473532e-16,-1.0,2,8.6,Fallow,Low
-17.7212,-10.433,-7.2882,1.2246467991473532e-16,-1.0,2,5.3,Fallow,Low
-19.0286,-11.6004,-7.4282,1.2246467991473532e-16,-1.0,2,8.8,Fallow,Low
-17.2037,-11.6349,-5.568800000000001,1.2246467991473532e-16,-1.0,2,7.9,Fallow,Low
-20.3589,-11.9589,-8.399999999999999,1.2246467991473532e-16,-1.0,2,8.0,Fallow,Low
-19.5296,-13.0626,-6.466999999999999,1.2246467991473532e-16,-1.0,2,7.5,Fallow,Low
-19.5386,-12.8276,-6.7109999999999985,1.2246467991473532e-16,-1.0,2,7.7,Fallow,Low
-20.6152,-12.8842,-7.731000000000002,1.2246467991473532e-16,-1.0,2,6.533333333333333,Fallow,Low
-20.3636,-11.917,-8.446600000000002,1.2246467991473532e-16,-1.0,2,10.1,Fallow,Low
-18.7258,-12.2486,-6.4772,1.2246467991473532e-16,-1.0,2,7.3,Fallow,Low
-19.7596,-10.9705,-8.7891,1.2246467991473532e-16,-1.0,2,5.7,Fallow,Low
-20.4533,-11.8024,-8.650899999999998,1.2246467991473532e-16,-1.0,2,10.9,Fallow,Low
-19.3009,-10.99,-8.310899999999998,1.2246467991473532e-16,-1.0,2,11.166666666666666,Fallow,Low
-19.5784,-11.815,-7.763399999999999,1.2246467991473532e-16,-1.0,2,7.2,Fallow,Low
-19.0005,-10.1774,-8.823099999999998,1.2246467991473532e-16,-1.0,2,12.2,Fallow,Medium
-20.2981,-13.0725,-7.225600000000002,1.2246467991473532e-16,-1.0,2,3.6,Fallow,Low
-18.6986,-12.9887,-5.709899999999999,1.2246467991473532e-16,-1.0,2,3.5,Fallow,Low
-18.6986,-12.9887,-5.709899999999999,1.2246467991473532e-16,-1.0,2,5.0,Fallow,Low
-18.8858,-12.7639,-6.1219,1.2246467991473532e-16,-1.0,2,4.1,Fallow,Low
-18.6744,-14.7882,-3.8861999999999988,1.2246467991473532e-16,-1.0,2,2.0,Fallow,Low
-18.1245,-11.8757,-6.248800000000001,1.2246467991473532e-16,-1.0,2,3.3,Fallow,Low
-18.1373,-9.52469,-8.61261,1.2246467991473532e-16,-1.0,2,26.5,Fallow,High
-18.6367,-12.9881,-5.648600000000002,1.2246467991473532e-16,-1.0,2,3.566666666666667,Fallow,Low
-17.8404,-11.0006,-6.8397999999999985,1.2246467991473532e-16,-1.0,2,3.5,Fallow,Low
-15.8711,-10.3787,-5.4924,1.2246467991473532e-16,-1.0,13,9.7,Pearl Millet,Low
-15.8287,-10.267,-5.5617,1.2246467991473532e-16,-1.0,13,8.1,Pearl Millet,Low
-17.1435,-12.7799,-4.3636,1.2246467991473532e-16,-1.0,2,4.2,Fallow,Low
-16.2,-9.95451,-6.245489999999998,1.2246467991473532e-16,-1.0,13,9.8,Pearl Millet,Low
-17.9406,-11.2444,-6.696199999999999,1.2246467991473532e-16,-1.0,2,2.3,Fallow,Low
-19.0359,-13.158,-5.877900000000002,1.2246467991473532e-16,-1.0,2,3.8,Fallow,Low
-19.1968,-13.1986,-5.998199999999999,1.2246467991473532e-16,-1.0,2,5.8,Fallow,Low
-19.8453,-12.2207,-7.624600000000001,1.2246467991473532e-16,-1.0,2,3.4,Fallow,Low
-18.9673,-13.193,-5.774300000000002,1.2246467991473532e-16,-1.0,2,3.7333333333333334,Fallow,Low
-12.4202,-4.08332,-8.33688,1.2246467991473532e-16,-1.0,2,5.8,Fallow,Low
-18.721,-12.5351,-6.1859,1.2246467991473532e-16,-1.0,2,5.9,Fallow,Low
-17.8501,-12.9101,-4.940000000000001,1.2246467991473532e-16,-1.0,2,4.9,Fallow,Low
-17.855,-11.9229,-5.9321,1.2246467991473532e-16,-1.0,2,8.9,Fallow,Low
-18.7179,-13.9241,-4.793800000000001,1.2246467991473532e-16,-1.0,8,4.1,Maize,Low
-19.5663,-12.6875,-6.878799999999998,1.2246467991473532e-16,-1.0,2,5.0,Fallow,Low
-18.2036,-10.7414,-7.462200000000001,1.2246467991473532e-16,-1.0,2,21.7,Fallow,Medium
