VH-pol,VV-pol,SM1 (%),Crop Name,label,NDVI
-19.3557,-13.5461,4.6,Fallow,Low,0.1077191457152366
-17.1605,-10.4691,7.2,Pearl Millet,Low,0.0897435918450355
-17.8729,-9.98927,6.4,Fallow,Low,0.0946180522441864
-17.7906,-11.9346,9.6,Lemon,Low,0.1886429190635681
-17.3646,-10.7327,3.9,Fallow,Low,0.1814059019088745
-20.179,-12.6369,9.9,Fallow,Low,0.127756655216217
-18.3151,-11.1065,4.6,Fallow,Low,0.1066460609436035
-17.4439,-10.222,9.4,Pearl Millet,Low,0.2362238317728042
-18.5871,-11.8398,5.6,Pearl Millet,Low,0.1289308220148086
-18.369,-12.5258,3.633333333333333,Fallow,Low,0.1470361799001693
-18.3568,-9.85463,4.8,Fallow,Low,0.2271880805492401
-19.1375,-12.3611,6.0,Fallow,Low,0.1072210073471069
-17.2726,-11.5579,7.0,Fallow,Low,0.0995184555649757
-18.5586,-10.7904,6.1,Fallow,Low,0.1520467847585678
-18.7528,-11.6258,4.666666666666666,Fallow,Low,0.1015560999512672
-19.9924,-12.1953,5.6,Fallow,Low,0.1128309592604637
-20.8285,-13.2891,6.0,Fallow,Low,0.0914105623960495
-19.5959,-10.4823,7.5,Fallow,Low,0.1271560341119766
-17.1316,-10.9405,6.0,Fallow,Low,0.4406912922859192
-20.7021,-12.418,4.233333333333333,Fallow,Low,0.1238903924822807
-19.215,-11.586,4.5,Fallow,Low,0.100794643163681
-19.4059,-11.3702,4.4,Fallow,Low,0.0855704694986343
-19.3264,-11.8751,4.9,Fallow,Low,0.0791788846254348
-18.7644,-11.1875,5.1,Fallow,Low,0.0829769000411033
-19.1452,-10.9786,5.233333333333333,Fallow,Low,0.1011419221758842
-18.0508,-10.5011,3.1,Fallow,Low,0.1154210045933723
-17.7971,-10.7217,3.4,Fallow,Low,0.1854684501886367
-18.7731,-10.2765,5.3,Fallow,Low,0.0867106467485427
-18.4068,-12.4165,5.9,Fallow,Low,0.1101928353309631
-18.4484,-11.2283,5.1,Fallow,Low,0.0898524820804596
-19.2643,-10.5667,5.3,Fallow,Low,0.1488423347473144
-17.672,-9.7187,2.0,Fallow,Low,0.1473102122545242
-18.426,-10.9651,5.6,Fallow,Low,0.1128860488533973
-18.806,-11.1999,4.5,Fallow,Low,0.1229586899280548
-18.3314,-12.2879,2.9,Fallow,Low,0.1059360727667808
-18.2699,-11.5343,4.4,Fallow,Low,0.1368728727102279
-19.5135,-11.5082,5.2,Fallow,Low,0.1548784971237182
-18.4931,-9.81751,4.4,Fallow,Low,0.1676706820726394
-18.8967,-10.9847,6.333333333333333,Fallow,Low,0.1578947305679321
-18.7502,-11.5313,5.9,Fallow,Low,0.1594064086675644
-18.2951,-12.0155,9.6,Fallow,Low,0.2388664036989212
-19.4342,-10.4312,10.6,Fallow,Low,0.2937032282352447
-17.8061,-11.2779,8.4,Fallow,Low,0.598556637763977
-19.1728,-11.2253,3.0,Jowar,Low,0.148505300283432
-22.5424,-12.1545,5.2,Fallow,Low,0.0713468119502067
-20.7219,-12.3306,3.6,Fallow,Low,0.1122950837016105
-20.0113,-12.1021,4.0,Fallow,Low,0.1353166997432708
-21.8338,-12.6317,14.3,Fallow,Medium,0.0901537165045738
-21.9811,-12.0595,4.733333333333333,Fallow,Low,0.0975908562541008
-18.1402,-12.5663,8.8,Fallow,Low,0.1341911703348159
-19.1513,-11.4172,7.5,Fallow,Low,0.1748427599668502
-19.576,-11.0103,16.5,Fallow,Medium,0.118716575205326
-18.5322,-10.5402,5.1,Fallow,Low,0.1482076048851013
-19.2907,-11.8609,5.033333333333333,Fallow,Low,0.1287844628095626
-19.7057,-11.8149,10.1,Fallow,Low,0.1248630881309509
-20.1477,-12.5277,4.0,Fallow,Low,0.1559633016586303
-19.3053,-11.3072,10.9,Fallow,Medium,0.2089470773935318
-17.4265,-10.7271,12.1,Fallow,Medium,0.1796678453683853
-19.9231,-10.9545,7.6,Jowar,Low,0.1415337175130844
-21.3386,-13.1527,4.5,Fallow,Low,0.1359912604093551
-19.2902,-11.0875,9.2,Fallow,Low,0.1299153864383697
-18.6875,-12.2219,8.6,Fallow,Low,0.1492795348167419
-17.7212,-10.433,5.3,Fallow,Low,0.3251994252204895
-19.0286,-11.6004,8.8,Fallow,Low,0.1330049186944961
-17.2037,-11.6349,7.9,Fallow,Low,0.1474043130874633
-20.3589,-11.9589,8.0,Fallow,Low,0.0932105854153633
-19.5296,-13.0626,7.5,Fallow,Low,0.1133501231670379
-19.5386,-12.8276,7.7,Fallow,Low,0.0615980289876461
-20.6152,-12.8842,6.533333333333333,Fallow,Low,0.0900225043296814
-20.3636,-11.917,10.1,Fallow,Low,0.1170858666300773
-18.7258,-12.2486,7.3,Fallow,Low,0.1618221253156662
-19.7596,-10.9705,5.7,Fallow,Low,0.1594713628292083
-20.4533,-11.8024,10.9,Fallow,Medium,0.1644100546836853
-19.3009,-10.99,11.16666666666667,Fallow,Medium,0.1058718860149383
-19.5784,-11.815,7.2,Fallow,Low,0.4419306218624115
-19.0005,-10.1774,12.2,Fallow,Medium,0.2553578019142151
-20.2981,-13.0725,3.6,Fallow,Low,0.1113537102937698
-18.6986,-12.9887,3.5,Fallow,Low,0.1356119066476822
-18.6986,-12.9887,5.0,Fallow,Low,0.1264619827270507
-18.8858,-12.7639,4.1,Fallow,Low,0.2435344755649566
-18.6744,-14.7882,2.0,Fallow,Low,0.1661506742238998
-18.1245,-11.8757,3.3,Fallow,Low,0.227009117603302
-18.1373,-9.52469,26.5,Fallow,High,0.3101265728473663
-18.6367,-12.9881,3.566666666666667,Fallow,Low,0.1437095999717712
-17.8404,-11.0006,3.5,Fallow,Low,0.1761363595724105
-15.8711,-10.3787,9.7,Pearl Millet,Low,0.2923462986946106
-15.8287,-10.267,8.1,Pearl Millet,Low,0.3127538561820984
-17.1435,-12.7799,4.2,Fallow,Low,0.1965535879135131
-16.2,-9.95451,9.8,Pearl Millet,Low,0.3251231610774994
-17.9406,-11.2444,2.3,Fallow,Low,0.177142858505249
-19.0359,-13.158,3.8,Fallow,Low,0.1580400317907333
-19.1968,-13.1986,5.8,Fallow,Low,0.3296482264995575
-19.8453,-12.2207,3.4,Fallow,Low,0.1258544474840164
-18.9673,-13.193,3.733333333333333,Fallow,Low,0.1813214123249054
-12.4202,-4.08332,5.8,Fallow,Low,0.1429961025714874
-18.721,-12.5351,5.9,Fallow,Low,0.2901119291782379
-17.8501,-12.9101,4.9,Fallow,Low,0.1371640413999557
-17.855,-11.9229,8.9,Fallow,Low,0.7318975329399109
-18.7179,-13.9241,4.1,Maize,Low,0.1205857023596763
-19.5663,-12.6875,5.0,Fallow,Low,0.0936073064804077
-18.2036,-10.7414,21.7,Fallow,High,0.0988700538873672
-18.3039,-10.6748,6.0,Fallow,Low,0.0879940316081047
-21.3491,-11.5331,5.7,Fallow,Low,0.1050955429673194
-20.7451,-11.5035,4.933333333333334,Fallow,Low,0.1514904052019119
-20.8577,-11.333,6.6,Fallow,Low,0.078248880803585
-21.0438,-12.3345,4.5,Fallow,Low,0.0758998468518257
-18.9432,-11.5601,4.9,Fallow,Low,0.1069767475128173
-18.3864,-10.0126,6.5,Fallow,Low,0.1118061020970344
-20.6445,-12.8325,6.7,Fallow,Low,0.0930460318922996
-18.6002,-11.1986,1.3,Fallow,Low,0.2029562294483184
-19.1392,-11.5026,1.5,Fallow,Low,0.2239955961704254
-20.6624,-12.4355,5.5,Fallow,Low,0.1244939267635345
-19.0949,-12.3996,6.6,Fallow,Low,0.1197349727153778
-20.4645,-12.0929,4.733333333333333,Fallow,Low,0.1362955570220947
-20.6736,-14.1688,6.7,Fallow,Low,0.1012203842401504
-19.1429,-10.9734,5.1,Fallow,Low,0.0968224331736564
-19.784,-12.0015,4.5,Fallow,Low,0.0884157344698906
-20.3815,-12.5045,12.3,Fallow,Medium,0.1072691529989242
-19.2682,-11.2334,5.466666666666667,Fallow,Low,0.0840602666139602
-18.6729,-12.1888,5.8,Fallow,Low,0.249140053987503
-19.1204,-11.7374,24.8,Fallow,High,0.1402404159307479
-17.6467,-12.4244,10.7,Fallow,Low,0.136817380785942
-19.7242,-11.6339,5.0,Fallow,Low,0.0949345827102661
-20.4652,-12.5777,5.899999999999999,Fallow,Low,0.2068800777196884
-18.1103,-12.7424,31.9,Fallow,High,0.2853025794029236
-19.7501,-14.2123,5.4,Fallow,Low,0.1855983734130859
-18.4144,-11.5915,4.7,Fallow,Low,0.1402085721492767
-18.519,-12.6514,1.9,Fallow,Low,0.0765492096543312
-19.0525,-12.857,2.133333333333333,Fallow,Low,0.095238097012043
-17.0171,-9.97736,23.3,Fallow,High,0.1659919023513794
-18.1488,-11.3335,7.1,Fallow,Low,0.1202084124088287
-18.4554,-11.4813,5.2,Fallow,Low,0.0954616591334343
-17.4858,-9.97749,5.7,Fallow,Low,0.1643678098917007
-18.2665,-11.7643,5.166666666666666,Fallow,Low,0.1196054220199585
-19.6852,-11.6614,5.5,Fallow,Low,0.208906888961792
-19.8313,-12.2824,3.6,Fallow,Low,0.0749692767858505
-20.0535,-10.3556,6.2,Fallow,Low,0.1648535579442978
-20.7023,-13.6124,7.3,Fallow,Low,0.1020408198237419
-20.0557,-12.9406,7.333333333333334,Fallow,Low,0.1178707256913185
-16.7031,-8.90457,10.9,Fallow,Medium,0.1077191457152366
-17.6459,-9.19917,20.3,Fallow,Medium,0.0897435918450355
-17.7947,-7.14103,36.0,Fallow,Very High,0.0946180522441864
-17.0656,-9.73584,23.5,Lemon,High,0.1886429190635681
-17.5226,-7.12236,36.6,Fallow,Very High,0.1814059019088745
-17.4581,-9.41454,11.4,Fallow,Medium,0.127756655216217
-19.0145,-8.02511,15.0,Fallow,Medium,0.1066460609436035
-17.5656,-8.45697,14.0,Fallow,Medium,0.2362238317728042
-18.8254,-10.3265,14.8,Fallow,Medium,0.1289308220148086
-18.8262,-8.8883,15.4,Fallow,Medium,0.1470361799001693
-15.7074,-9.74809,19.6,Fallow,Medium,0.2271880805492401
-17.9888,-10.5017,11.4,Fallow,Medium,0.1072210073471069
-16.1815,-9.37847,14.3,Fallow,Medium,0.0995184555649757
-17.3963,-9.70156,16.6,Fallow,Medium,0.1520467847585678
-17.5039,-9.70822,12.53333333333333,Fallow,Medium,0.1015560999512672
-19.2008,-10.3729,18.9,Fallow,Medium,0.1128309592604637
-20.3727,-10.9433,13.0,Fallow,Medium,0.0914105623960495
-17.9643,-10.5367,16.1,Fallow,Medium,0.1271560341119766
-17.5357,-10.458,9.5,Fallow,Low,0.4406912922859192
