lr,n_estimators,tau_lo,tau_hi,min_samples_leaf,max_depth,subsample,q_hat,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
0.02,400,0.15,0.85,15,4,0.8,5.32667,15.8179,0.892157,26.074384,0.882927,26.471223
0.02,400,0.15,0.85,15,4,0.9,5.474286,15.94,0.892157,26.434441,0.882927,26.888544
0.02,400,0.15,0.85,15,4,1.0,5.496565,16.0011,0.892157,26.573401,0.887805,26.994241
0.02,400,0.15,0.85,15,5,0.8,6.061254,15.1725,0.887255,26.856888,0.887805,27.295008
0.02,400,0.15,0.85,15,5,0.9,5.331225,15.1439,0.882353,25.298369,0.873171,25.806303
0.02,400,0.15,0.85,15,5,1.0,5.701975,15.2758,0.897059,26.317771,0.892683,26.679758
0.02,400,0.15,0.85,18,4,0.8,5.131909,15.7025,0.882353,25.57194,0.868293,25.966276
0.02,400,0.15,0.85,18,4,0.9,5.136139,15.768,0.887255,25.654992,0.878049,26.040248
0.02,400,0.15,0.85,18,4,1.0,5.528951,15.9614,0.887255,26.51395,0.882927,27.01927
0.02,400,0.15,0.85,18,5,0.8,5.578076,15.1958,0.882353,26.018503,0.878049,26.351908
0.02,400,0.15,0.85,18,5,0.9,5.398454,15.1927,0.892157,25.52943,0.868293,25.989642
0.02,400,0.15,0.85,18,5,1.0,5.155523,14.9995,0.892157,25.009839,0.868293,25.310525
0.02,400,0.15,0.85,20,4,0.8,5.259525,15.6599,0.887255,25.725175,0.892683,26.178909
0.02,400,0.15,0.85,20,4,0.9,5.160019,15.7897,0.887255,25.707356,0.868293,26.109698
0.02,400,0.15,0.85,20,4,1.0,5.468616,15.9876,0.892157,26.427664,0.882927,26.924826
0.02,400,0.15,0.85,20,5,0.8,5.927957,15.0942,0.906863,26.489084,0.892683,26.950155
0.02,400,0.15,0.85,20,5,0.9,6.061164,15.0686,0.897059,26.892645,0.902439,27.190918
0.02,400,0.15,0.85,20,5,1.0,5.117768,14.948,0.887255,24.875925,0.878049,25.183573
0.02,400,0.15,0.85,22,4,0.8,4.891978,15.6444,0.882353,24.972265,0.868293,25.428359
0.02,400,0.15,0.85,22,4,0.9,5.1311,15.7298,0.887255,25.59201,0.873171,25.991992
0.02,400,0.15,0.85,22,4,1.0,5.61337,15.7316,0.901961,26.551916,0.897561,26.958377
0.02,400,0.15,0.85,22,5,0.8,5.634793,15.0157,0.887255,25.906369,0.882927,26.285293
0.02,400,0.15,0.85,22,5,0.9,5.657809,15.119,0.882353,26.075484,0.892683,26.434625
0.02,400,0.15,0.85,22,5,1.0,5.492273,14.9358,0.892157,25.545507,0.878049,25.920316
0.02,400,0.15,0.85,25,4,0.8,5.69003,15.8021,0.887255,26.650009,0.887805,27.182119
0.02,400,0.15,0.85,25,4,0.9,5.056083,15.9061,0.892157,25.583639,0.873171,26.018257
0.02,400,0.15,0.85,25,4,1.0,4.986772,15.8176,0.877451,25.389804,0.882927,25.791164
0.02,400,0.15,0.85,25,5,0.8,5.247862,15.1017,0.882353,25.142656,0.873171,25.597397
0.02,400,0.15,0.85,25,5,0.9,5.549599,15.1941,0.887255,25.885681,0.873171,26.293324
0.02,400,0.15,0.85,25,5,1.0,6.232415,15.0442,0.892157,27.104578,0.902439,27.509075
0.02,400,0.15,0.85,30,4,0.8,4.835277,15.88,0.887255,25.00335,0.853659,25.550591
