rank,picp_bucket,lr,n_estimators,tau_lo,tau_hi,msl,depth,sub,q_hat,val_PICP,val_MPIW,test_PICP,test_MPIW,plot_file
1,92.8pct,0.032,450,0.15,0.85,22,4,1.0,5.222,0.8816,26.9431,0.9281,25.8482,92.8pct/rank01_picp92.8_mpiw25.85_lr0.032_n450_msl22_d4.png
2,92.2pct,0.025,550,0.15,0.85,25,4,1.0,4.9259,0.9013,26.553,0.9216,25.7908,92.2pct/rank02_picp92.2_mpiw25.79_lr0.025_n550_msl25_d4.png
3,91.5pct,0.03,550,0.15,0.85,20,4,1.0,5.2533,0.9079,26.7965,0.915,25.7626,91.5pct/rank03_picp91.5_mpiw25.76_lr0.03_n550_msl20_d4.png
4,91.5pct,0.03,500,0.15,0.85,20,4,1.0,5.2235,0.9079,26.8585,0.915,25.8113,91.5pct/rank04_picp91.5_mpiw25.81_lr0.03_n500_msl20_d4.png
5,91.5pct,0.025,500,0.15,0.85,25,4,0.9,5.1984,0.9145,26.7447,0.915,25.8828,91.5pct/rank05_picp91.5_mpiw25.88_lr0.025_n500_msl25_d4.png
6,91.5pct,0.035,400,0.15,0.85,30,4,1.0,5.1248,0.9013,26.7556,0.915,25.9074,91.5pct/rank06_picp91.5_mpiw25.91_lr0.035_n400_msl30_d4.png
7,91.5pct,0.03,450,0.15,0.85,20,4,1.0,5.2311,0.9079,27.0478,0.915,25.9714,91.5pct/rank07_picp91.5_mpiw25.97_lr0.03_n450_msl20_d4.png
8,91.5pct,0.02,800,0.15,0.85,18,4,1.0,5.2955,0.9013,26.9714,0.915,25.9884,91.5pct/rank08_picp91.5_mpiw25.99_lr0.02_n800_msl18_d4.png
9,90.9pct,0.035,700,0.15,0.85,25,4,1.0,5.1664,0.8947,26.1537,0.9085,25.4656,90.9pct/rank09_picp90.8_mpiw25.47_lr0.035_n700_msl25_d4.png
10,90.9pct,0.035,800,0.15,0.85,25,4,1.0,5.2646,0.8947,26.1381,0.9085,25.4928,90.9pct/rank10_picp90.8_mpiw25.49_lr0.035_n800_msl25_d4.png
11,90.9pct,0.032,500,0.15,0.85,25,4,1.0,4.9277,0.8816,26.3467,0.9085,25.5773,90.9pct/rank11_picp90.8_mpiw25.58_lr0.032_n500_msl25_d4.png
12,90.9pct,0.028,800,0.15,0.85,25,4,1.0,5.0223,0.8882,26.3811,0.9085,25.6108,90.9pct/rank12_picp90.8_mpiw25.61_lr0.028_n800_msl25_d4.png
13,90.9pct,0.025,550,0.15,0.85,25,4,0.9,5.131,0.9013,26.4567,0.9085,25.6181,90.9pct/rank13_picp90.8_mpiw25.62_lr0.025_n550_msl25_d4.png
14,90.9pct,0.03,600,0.15,0.85,20,4,1.0,5.2756,0.9079,26.7453,0.9085,25.7234,90.9pct/rank14_picp90.8_mpiw25.72_lr0.03_n600_msl20_d4.png
15,90.9pct,0.025,450,0.15,0.85,25,4,0.9,5.0965,0.9145,26.7148,0.9085,25.8481,90.9pct/rank15_picp90.8_mpiw25.85_lr0.025_n450_msl25_d4.png
16,90.9pct,0.025,550,0.15,0.85,25,5,1.0,5.4907,0.8947,26.6056,0.9085,25.8967,90.9pct/rank16_picp90.8_mpiw25.90_lr0.025_n550_msl25_d5.png
17,90.9pct,0.032,700,0.15,0.85,25,4,1.0,5.3682,0.8816,26.7228,0.9085,25.916,90.9pct/rank17_picp90.8_mpiw25.92_lr0.032_n700_msl25_d4.png
18,90.9pct,0.025,800,0.15,0.85,30,4,1.0,5.3294,0.8947,26.6757,0.9085,25.9285,90.9pct/rank18_picp90.8_mpiw25.93_lr0.025_n800_msl30_d4.png
19,90.9pct,0.02,450,0.15,0.85,18,4,0.9,4.9249,0.9013,26.865,0.9085,25.9353,90.9pct/rank19_picp90.8_mpiw25.94_lr0.02_n450_msl18_d4.png
20,90.9pct,0.025,450,0.15,0.85,30,4,1.0,4.9724,0.9013,26.7506,0.9085,25.9628,90.9pct/rank20_picp90.8_mpiw25.96_lr0.025_n450_msl30_d4.png
21,90.9pct,0.03,600,0.15,0.85,18,4,1.0,5.3921,0.8947,27.0407,0.9085,25.963,90.9pct/rank21_picp90.8_mpiw25.96_lr0.03_n600_msl18_d4.png
22,90.9pct,0.02,500,0.15,0.85,18,4,1.0,4.9046,0.9145,26.9671,0.9085,25.9683,90.9pct/rank22_picp90.8_mpiw25.97_lr0.02_n500_msl18_d4.png
23,90.9pct,0.028,700,0.15,0.85,25,4,1.0,5.0897,0.8947,26.7353,0.9085,25.9683,90.9pct/rank23_picp90.8_mpiw25.97_lr0.028_n700_msl25_d4.png
24,90.9pct,0.025,400,0.15,0.85,25,4,0.9,5.0737,0.9079,26.8727,0.9085,25.9822,90.9pct/rank24_picp90.8_mpiw25.98_lr0.025_n400_msl25_d4.png
25,90.2pct,0.025,800,0.15,0.85,25,4,1.0,4.9038,0.8882,26.0646,0.902,25.2749,90.2pct/rank25_picp90.2_mpiw25.27_lr0.025_n800_msl25_d4.png
26,90.2pct,0.028,500,0.15,0.85,22,5,1.0,5.3133,0.8947,26.4107,0.902,25.3859,90.2pct/rank26_picp90.2_mpiw25.39_lr0.028_n500_msl22_d5.png
27,90.2pct,0.02,450,0.15,0.85,20,5,1.0,5.237,0.8882,26.5423,0.902,25.4539,90.2pct/rank27_picp90.2_mpiw25.45_lr0.02_n450_msl20_d5.png
28,90.2pct,0.025,600,0.15,0.85,25,4,1.0,4.7985,0.8882,26.2526,0.902,25.4755,90.2pct/rank28_picp90.2_mpiw25.48_lr0.025_n600_msl25_d4.png
29,90.2pct,0.035,600,0.15,0.85,25,4,1.0,5.0738,0.8947,26.1565,0.902,25.4868,90.2pct/rank29_picp90.2_mpiw25.49_lr0.035_n600_msl25_d4.png
30,90.2pct,0.02,550,0.15,0.85,20,5,1.0,5.471,0.8816,26.5101,0.902,25.5064,90.2pct/rank30_picp90.2_mpiw25.51_lr0.02_n550_msl20_d5.png
31,90.2pct,0.03,700,0.15,0.85,20,4,1.0,5.3068,0.9079,26.4799,0.902,25.5235,90.2pct/rank31_picp90.2_mpiw25.52_lr0.03_n700_msl20_d4.png
32,90.2pct,0.02,500,0.15,0.85,20,5,1.0,5.3536,0.8882,26.5958,0.902,25.5246,90.2pct/rank32_picp90.2_mpiw25.52_lr0.02_n500_msl20_d5.png
