lr,n_estimators,tau_lo,tau_hi,min_samples_leaf,max_depth,subsample,q_hat,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
0.02,400,0.15,0.85,15,4,0.8,4.947645,15.8902,0.901316,26.907738,0.895425,25.785535
0.02,400,0.15,0.85,15,4,0.9,5.54256,15.9926,0.921053,28.026842,0.928105,27.07775
0.02,400,0.15,0.85,15,4,1.0,5.223365,16.2205,0.907895,27.59038,0.908497,26.667232
0.02,400,0.15,0.85,15,5,0.8,6.135335,14.9047,0.914474,28.373474,0.908497,27.175374
0.02,400,0.15,0.85,15,5,0.9,5.787764,15.1079,0.914474,27.633431,0.921569,26.683473
0.02,400,0.15,0.85,15,5,1.0,5.240251,15.5751,0.901316,27.053507,0.888889,26.05556
0.02,400,0.15,0.85,18,4,0.8,5.775985,16.0779,0.921053,28.638426,0.928105,27.629833
0.02,400,0.15,0.85,18,4,0.9,4.926047,16.2253,0.907895,27.008265,0.915033,26.077379
0.02,400,0.15,0.85,18,4,1.0,5.092829,16.4939,0.921053,27.71325,0.908497,26.679535
0.02,400,0.15,0.85,18,5,0.8,5.40819,15.3088,0.914474,27.155525,0.901961,26.125171
0.02,400,0.15,0.85,18,5,0.9,5.683154,15.2111,0.901316,27.606645,0.908497,26.577396
0.02,400,0.15,0.85,18,5,1.0,5.80892,15.2635,0.914474,28.07802,0.901961,26.881297
0.02,400,0.15,0.85,20,4,0.8,5.615853,16.0066,0.921053,28.294022,0.921569,27.23831
0.02,400,0.15,0.85,20,4,0.9,5.017597,16.0929,0.894737,27.029052,0.908497,26.128124
0.02,400,0.15,0.85,20,4,1.0,5.321414,16.1673,0.914474,27.887677,0.915033,26.810136
0.02,400,0.15,0.85,20,5,0.8,5.636184,15.2493,0.914474,27.424069,0.888889,26.521654
0.02,400,0.15,0.85,20,5,0.9,5.171284,15.3272,0.894737,26.76059,0.895425,25.669814
0.02,400,0.15,0.85,20,5,1.0,5.267848,15.2414,0.894737,26.855146,0.901961,25.777065
0.02,400,0.15,0.85,22,4,0.8,5.567865,15.9458,0.914474,28.099727,0.921569,27.081531
0.02,400,0.15,0.85,22,4,0.9,5.780363,16.0902,0.921053,28.574446,0.928105,27.650884
0.02,400,0.15,0.85,22,4,1.0,5.519276,16.405,0.921053,28.496219,0.921569,27.443522
0.02,400,0.15,0.85,22,5,0.8,6.069737,15.3314,0.914474,28.483161,0.921569,27.470905
0.02,400,0.15,0.85,22,5,0.9,5.491894,15.36,0.907895,27.292518,0.915033,26.343822
0.02,400,0.15,0.85,22,5,1.0,5.494881,15.488,0.927632,27.641114,0.908497,26.47776
0.02,400,0.15,0.85,25,4,0.8,5.379153,16.1366,0.921053,27.844601,0.915033,26.89492
0.02,400,0.15,0.85,25,4,0.9,5.792775,16.1797,0.927632,28.659859,0.941176,27.765277
0.02,400,0.15,0.85,25,4,1.0,5.150929,16.5813,0.901316,27.444536,0.921569,26.88315
0.02,400,0.15,0.85,25,5,0.8,6.170769,15.4714,0.907895,28.68716,0.921569,27.812919
0.02,400,0.15,0.85,25,5,0.9,5.79887,15.5176,0.914474,28.018483,0.928105,27.115304
0.02,400,0.15,0.85,25,5,1.0,4.950217,15.7191,0.894737,26.403477,0.888889,25.61958
0.02,400,0.15,0.85,30,4,0.8,5.266184,16.2055,0.907895,27.703542,0.928105,26.73784
0.02,400,0.15,0.85,30,4,0.9,5.547527,16.3355,0.927632,28.232562,0.928105,27.430562
0.02,400,0.15,0.85,30,4,1.0,4.823956,16.4526,0.914474,26.989142,0.901961,26.100523
0.02,400,0.15,0.85,30,5,0.8,5.351976,15.4928,0.901316,27.25102,0.908497,26.196784
0.02,400,0.15,0.85,30,5,0.9,5.914274,15.6422,0.921053,28.333504,0.928105,27.470718
0.02,400,0.15,0.85,30,5,1.0,4.960903,15.9045,0.894737,26.735833,0.888889,25.826313
0.02,400,0.2,0.8,15,4,0.8,7.001304,12.9404,0.907895,27.791188,0.915033,26.942982
0.02,400,0.2,0.8,15,4,0.9,7.809953,12.9079,0.907895,29.293555,0.941176,28.527762
0.02,400,0.2,0.8,15,4,1.0,6.935232,13.6051,0.907895,28.122898,0.908497,27.475576
0.02,400,0.2,0.8,15,5,0.8,7.820006,12.4307,0.907895,28.854223,0.921569,28.070662
0.02,400,0.2,0.8,15,5,0.9,7.770326,12.3567,0.907895,28.805164,0.947712,27.897359
0.02,400,0.2,0.8,15,5,1.0,7.836614,12.4973,0.921053,29.017283,0.934641,28.170558
0.02,400,0.2,0.8,18,4,0.8,7.721831,12.9868,0.921053,29.287835,0.941176,28.430509
0.02,400,0.2,0.8,18,4,0.9,7.21108,13.058,0.914474,28.221606,0.928105,27.48016
0.02,400,0.2,0.8,18,4,1.0,7.258567,13.3649,0.907895,28.787757,0.921569,27.882051
0.02,400,0.2,0.8,18,5,0.8,7.6287,12.5517,0.907895,28.61883,0.915033,27.809114
0.02,400,0.2,0.8,18,5,0.9,8.250797,12.4347,0.907895,29.888044,0.941176,28.93633
0.02,400,0.2,0.8,18,5,1.0,7.12319,12.5846,0.901316,27.984046,0.915033,26.831026
0.02,400,0.2,0.8,20,4,0.8,7.184015,13.0987,0.914474,28.245458,0.921569,27.4667
0.02,400,0.2,0.8,20,4,0.9,7.435979,13.0974,0.914474,28.791862,0.921569,27.969344
0.02,400,0.2,0.8,20,4,1.0,7.185165,13.3654,0.901316,28.416373,0.908497,27.735697
0.02,400,0.2,0.8,20,5,0.8,8.341329,12.3815,0.927632,29.916319,0.954248,29.064109
0.02,400,0.2,0.8,20,5,0.9,7.474773,12.5562,0.907895,28.419704,0.915033,27.50571
0.02,400,0.2,0.8,20,5,1.0,7.725673,12.5182,0.901316,29.123198,0.934641,27.969536
0.02,400,0.2,0.8,22,4,0.8,7.090671,13.0497,0.914474,28.071229,0.908497,27.231021
0.02,400,0.2,0.8,22,4,0.9,7.277571,13.1513,0.914474,28.551889,0.928105,27.70642
0.02,400,0.2,0.8,22,4,1.0,7.524892,13.3363,0.914474,29.176614,0.941176,28.386053
0.02,400,0.2,0.8,22,5,0.8,7.781315,12.5929,0.907895,28.872638,0.921569,28.155514
0.02,400,0.2,0.8,22,5,0.9,7.350109,12.6276,0.907895,28.125506,0.921569,27.327776
0.02,400,0.2,0.8,22,5,1.0,7.094685,12.8506,0.907895,28.053595,0.908497,27.039977
0.02,400,0.2,0.8,25,4,0.8,7.605679,13.109,0.907895,29.041363,0.921569,28.320343
0.02,400,0.2,0.8,25,4,0.9,7.443861,13.195,0.914474,28.766456,0.921569,28.082735
0.02,400,0.2,0.8,25,4,1.0,7.21421,13.5054,0.921053,28.518382,0.934641,27.933791
0.02,400,0.2,0.8,25,5,0.8,8.130457,12.6649,0.914474,29.580133,0.954248,28.925771
0.02,400,0.2,0.8,25,5,0.9,7.651644,12.7337,0.914474,28.857024,0.941176,28.036952
0.02,400,0.2,0.8,25,5,1.0,7.570193,12.7498,0.921053,28.703787,0.934641,27.890141
0.02,400,0.2,0.8,30,4,0.8,7.959551,13.2613,0.921053,29.866632,0.941176,29.18041
0.02,400,0.2,0.8,30,4,0.9,7.230016,13.3764,0.901316,28.536988,0.921569,27.836382
0.02,400,0.2,0.8,30,4,1.0,7.435764,13.5486,0.907895,28.967709,0.915033,28.420093
0.02,400,0.2,0.8,30,5,0.8,8.037906,12.8889,0.914474,29.600457,0.947712,28.964696
0.02,400,0.2,0.8,30,5,0.9,7.704198,12.9902,0.901316,28.949644,0.941176,28.398619
0.02,400,0.2,0.8,30,5,1.0,7.685225,12.9366,0.914474,29.07169,0.934641,28.307038
0.02,450,0.15,0.85,15,4,0.8,4.813047,15.6793,0.894737,26.412657,0.875817,25.305374
0.02,450,0.15,0.85,15,4,0.9,5.577317,15.8031,0.921053,27.864249,0.928105,26.957775
0.02,450,0.15,0.85,15,4,1.0,5.346963,16.0669,0.907895,27.665524,0.908497,26.76079
0.02,450,0.15,0.85,15,5,0.8,6.374457,14.6741,0.921053,28.579656,0.915033,27.423019
0.02,450,0.15,0.85,15,5,0.9,5.718388,14.8556,0.907895,27.281259,0.915033,26.29237
0.02,450,0.15,0.85,15,5,1.0,5.323248,15.3735,0.907895,27.006238,0.888889,26.02004
0.02,450,0.15,0.85,18,4,0.8,5.578767,15.8341,0.921053,28.023885,0.921569,26.99167
0.02,450,0.15,0.85,18,4,0.9,4.924857,16.0856,0.901316,26.864973,0.908497,25.935309
0.02,450,0.15,0.85,18,4,1.0,4.890917,16.2962,0.914474,27.076789,0.901961,26.07807
0.02,450,0.15,0.85,18,5,0.8,5.758334,15.0908,0.914474,27.627824,0.908497,26.607511
0.02,450,0.15,0.85,18,5,0.9,5.80717,14.9904,0.907895,27.600203,0.908497,26.604743
0.02,450,0.15,0.85,18,5,1.0,5.93686,14.9833,0.927632,28.0912,0.901961,26.857064
0.02,450,0.15,0.85,20,4,0.8,5.81492,15.8051,0.921053,28.46954,0.921569,27.434986
0.02,450,0.15,0.85,20,4,0.9,5.107885,15.8984,0.894737,26.982127,0.908497,26.114212
0.02,450,0.15,0.85,20,4,1.0,5.467926,15.9952,0.921053,28.008676,0.915033,26.931007
0.02,450,0.15,0.85,20,5,0.8,6.101899,14.9822,0.914474,28.065632,0.915033,27.185959
0.02,450,0.15,0.85,20,5,0.9,5.318045,15.0168,0.894737,26.761755,0.895425,25.65285
0.02,450,0.15,0.85,20,5,1.0,5.237001,14.9799,0.888158,26.542307,0.901961,25.453874
0.02,450,0.15,0.85,22,4,0.8,5.512638,15.6821,0.914474,27.707631,0.915033,26.707349
0.02,450,0.15,0.85,22,4,0.9,5.850289,15.9114,0.914474,28.526995,0.928105,27.61198
0.02,450,0.15,0.85,22,4,1.0,5.5249,16.2328,0.921053,28.324302,0.921569,27.282606
0.02,450,0.15,0.85,22,5,0.8,6.433392,15.1266,0.921053,28.970407,0.928105,27.993369
0.02,450,0.15,0.85,22,5,0.9,5.653424,15.079,0.914474,27.307391,0.915033,26.385814
0.02,450,0.15,0.85,22,5,1.0,5.558608,15.3126,0.927632,27.547746,0.908497,26.429786
0.02,450,0.15,0.85,25,4,0.8,5.421211,15.9557,0.914474,27.672231,0.915033,26.798122
0.02,450,0.15,0.85,25,4,0.9,5.815808,16.0017,0.927632,28.480499,0.934641,27.633321
0.02,450,0.15,0.85,25,4,1.0,5.380389,16.363,0.921053,27.665271,0.928105,27.123771
0.02,450,0.15,0.85,25,5,0.8,6.080577,15.2137,0.907895,28.261159,0.915033,27.374844
0.02,450,0.15,0.85,25,5,0.9,5.929413,15.3203,0.914474,28.060544,0.928105,27.179108
0.02,450,0.15,0.85,25,5,1.0,5.016597,15.6069,0.894737,26.413735,0.895425,25.640107
0.02,450,0.15,0.85,30,4,0.8,5.42756,16.0115,0.914474,27.814499,0.934641,26.866645
0.02,450,0.15,0.85,30,4,0.9,5.649234,16.143,0.921053,28.219009,0.928105,27.441425
0.02,450,0.15,0.85,30,4,1.0,4.745872,16.272,0.907895,26.653888,0.901961,25.763762
0.02,450,0.15,0.85,30,5,0.8,5.641113,15.2787,0.907895,27.587026,0.915033,26.560915
0.02,450,0.15,0.85,30,5,0.9,6.032948,15.4273,0.921053,28.339897,0.934641,27.493233
0.02,450,0.15,0.85,30,5,1.0,5.200812,15.7422,0.894737,27.026656,0.915033,26.143813
0.02,450,0.2,0.8,15,4,0.8,7.154126,12.7669,0.907895,27.938293,0.908497,27.075111
0.02,450,0.2,0.8,15,4,0.9,7.902226,12.7684,0.914474,29.320341,0.941176,28.572843
0.02,450,0.2,0.8,15,4,1.0,6.952118,13.4664,0.907895,28.03735,0.908497,27.37061
0.02,450,0.2,0.8,15,5,0.8,7.897991,12.2285,0.901316,28.758319,0.921569,28.024517
0.02,450,0.2,0.8,15,5,0.9,7.890438,12.1812,0.901316,28.864463,0.947712,27.962099
0.02,450,0.2,0.8,15,5,1.0,7.819814,12.3734,0.914474,28.868491,0.928105,28.013062
0.02,450,0.2,0.8,18,4,0.8,7.935002,12.8105,0.927632,29.558457,0.941176,28.680525
0.02,450,0.2,0.8,18,4,0.9,7.283392,12.8869,0.907895,28.204518,0.928105,27.453718
0.02,450,0.2,0.8,18,4,1.0,7.388422,13.1844,0.907895,28.900141,0.915033,27.961243
0.02,450,0.2,0.8,18,5,0.8,7.595849,12.3429,0.901316,28.369487,0.908497,27.534599
0.02,450,0.2,0.8,18,5,0.9,8.213061,12.2987,0.907895,29.667611,0.941176,28.724825
0.02,450,0.2,0.8,18,5,1.0,7.135288,12.4569,0.901316,27.874875,0.908497,26.727516
0.02,450,0.2,0.8,20,4,0.8,7.302589,12.9085,0.914474,28.313935,0.915033,27.513672
0.02,450,0.2,0.8,20,4,0.9,7.546671,12.8938,0.907895,28.827586,0.921569,27.987149
0.02,450,0.2,0.8,20,4,1.0,7.295054,13.2086,0.901316,28.487859,0.908497,27.798728
0.02,450,0.2,0.8,20,5,0.8,8.38185,12.2308,0.927632,29.827396,0.954248,28.994467
0.02,450,0.2,0.8,20,5,0.9,7.763154,12.3707,0.907895,28.809702,0.915033,27.897028
0.02,450,0.2,0.8,20,5,1.0,7.88697,12.3417,0.901316,29.282554,0.934641,28.115659
0.02,450,0.2,0.8,22,4,0.8,7.476949,12.8594,0.921053,28.613846,0.928105,27.813295
0.02,450,0.2,0.8,22,4,0.9,7.44188,12.9776,0.914474,28.689287,0.928105,27.861363
0.02,450,0.2,0.8,22,4,1.0,7.527556,13.1937,0.914474,29.017941,0.941176,28.248796
0.02,450,0.2,0.8,22,5,0.8,7.864445,12.397,0.907895,28.816145,0.921569,28.125901
0.02,450,0.2,0.8,22,5,0.9,7.543337,12.4136,0.907895,28.313714,0.928105,27.500299
0.02,450,0.2,0.8,22,5,1.0,7.116456,12.6593,0.907895,27.892398,0.901961,26.892207
0.02,450,0.2,0.8,25,4,0.8,7.443496,12.9837,0.901316,28.575692,0.921569,27.870724
0.02,450,0.2,0.8,25,4,0.9,7.527915,13.0371,0.914474,28.802175,0.928105,28.092926
0.02,450,0.2,0.8,25,4,1.0,7.193192,13.3377,0.914474,28.333068,0.921569,27.724073
0.02,450,0.2,0.8,25,5,0.8,8.162804,12.4748,0.914474,29.468465,0.941176,28.800422
0.02,450,0.2,0.8,25,5,0.9,7.9688,12.533,0.914474,29.266,0.941176,28.470603
0.02,450,0.2,0.8,25,5,1.0,7.625566,12.6182,0.907895,28.667206,0.934641,27.869351
0.02,450,0.2,0.8,30,4,0.8,7.886676,13.0818,0.921053,29.531887,0.941176,28.85516
0.02,450,0.2,0.8,30,4,0.9,7.840699,13.2067,0.921053,29.589645,0.934641,28.888078
0.02,450,0.2,0.8,30,4,1.0,7.750897,13.4115,0.914474,29.441135,0.928105,28.913329
0.02,450,0.2,0.8,30,5,0.8,8.225712,12.6515,0.914474,29.736112,0.947712,29.102962
0.02,450,0.2,0.8,30,5,0.9,7.829727,12.7599,0.901316,28.987107,0.941176,28.419397
0.02,450,0.2,0.8,30,5,1.0,7.686686,12.8342,0.914474,28.946028,0.934641,28.207573
0.02,500,0.15,0.85,15,4,0.8,4.986033,15.5008,0.901316,26.530318,0.882353,25.472863
0.02,500,0.15,0.85,15,4,0.9,5.734841,15.6191,0.921053,27.996777,0.928105,27.088785
0.02,500,0.15,0.85,15,4,1.0,5.389565,15.924,0.907895,27.611576,0.908497,26.7031
0.02,500,0.15,0.85,15,5,0.8,6.455809,14.4223,0.921053,28.475448,0.908497,27.333926
0.02,500,0.15,0.85,15,5,0.9,5.882767,14.6387,0.907895,27.371873,0.915033,26.404223
0.02,500,0.15,0.85,15,5,1.0,5.501274,15.2484,0.907895,27.236344,0.901961,26.250929
0.02,500,0.15,0.85,18,4,0.8,5.480617,15.6407,0.914474,27.632673,0.915033,26.601931
0.02,500,0.15,0.85,18,4,0.9,4.875845,15.9252,0.901316,26.588226,0.895425,25.676925
0.02,500,0.15,0.85,18,4,1.0,4.904595,16.1591,0.914474,26.967077,0.908497,25.968254
0.02,500,0.15,0.85,18,5,0.8,6.016077,14.8723,0.914474,27.896191,0.908497,26.904424
0.02,500,0.15,0.85,18,5,0.9,5.892191,14.728,0.914474,27.518124,0.908497,26.512408
0.02,500,0.15,0.85,18,5,1.0,5.97885,14.7894,0.927632,27.978822,0.901961,26.747149
0.02,500,0.15,0.85,20,4,0.8,6.05571,15.6208,0.921053,28.753653,0.921569,27.732239
0.02,500,0.15,0.85,20,4,0.9,5.371723,15.7283,0.901316,27.33416,0.915033,26.471723
0.02,500,0.15,0.85,20,4,1.0,5.680947,15.8448,0.927632,28.27959,0.921569,27.206669
0.02,500,0.15,0.85,20,5,0.8,6.445448,14.766,0.927632,28.512692,0.934641,27.656878
0.02,500,0.15,0.85,20,5,0.9,5.738465,14.7572,0.907895,27.354696,0.895425,26.234102
0.02,500,0.15,0.85,20,5,1.0,5.353603,14.8174,0.888158,26.595805,0.901961,25.524603
0.02,500,0.15,0.85,22,4,0.8,5.692942,15.4866,0.914474,27.856781,0.921569,26.87249
0.02,500,0.15,0.85,22,4,0.9,5.957137,15.7109,0.914474,28.510127,0.928105,27.625204
0.02,500,0.15,0.85,22,4,1.0,5.576574,16.1198,0.914474,28.308485,0.915033,27.272922
0.02,500,0.15,0.85,22,5,0.8,6.628753,14.9141,0.921053,29.129913,0.934641,28.171558
0.02,500,0.15,0.85,22,5,0.9,5.709611,14.9074,0.914474,27.261188,0.915033,26.326573
0.02,500,0.15,0.85,22,5,1.0,5.732575,15.1529,0.927632,27.736259,0.915033,26.618051
0.02,500,0.15,0.85,25,4,0.8,5.535177,15.8153,0.921053,27.727852,0.921569,26.885698
0.02,500,0.15,0.85,25,4,0.9,5.671661,15.8656,0.914474,28.037548,0.934641,27.208877
0.02,500,0.15,0.85,25,4,1.0,5.478927,16.2718,0.914474,27.768422,0.928105,27.229691
0.02,500,0.15,0.85,25,5,0.8,6.273813,14.9933,0.907895,28.395489,0.915033,27.540909
0.02,500,0.15,0.85,25,5,0.9,6.048579,15.183,0.914474,28.139691,0.928105,27.280195
0.02,500,0.15,0.85,25,5,1.0,5.040839,15.3595,0.894737,26.181199,0.882353,25.441198
0.02,500,0.15,0.85,30,4,0.8,5.524892,15.8246,0.914474,27.793319,0.934641,26.874384
0.02,500,0.15,0.85,30,4,0.9,5.653069,16.0172,0.921053,28.054129,0.928105,27.323331
0.02,500,0.15,0.85,30,4,1.0,5.135514,16.1614,0.907895,27.320919,0.901961,26.432408
0.02,500,0.15,0.85,30,5,0.8,5.798575,15.0872,0.901316,27.691539,0.908497,26.684361
0.02,500,0.15,0.85,30,5,0.9,6.137121,15.1852,0.921053,28.299833,0.921569,27.459424
0.02,500,0.15,0.85,30,5,1.0,5.531748,15.5489,0.901316,27.492708,0.915033,26.612361
0.02,500,0.2,0.8,15,4,0.8,7.181537,12.602,0.901316,27.831129,0.901961,26.96503
0.02,500,0.2,0.8,15,4,0.9,7.846249,12.6078,0.901316,29.038018,0.934641,28.300312
0.02,500,0.2,0.8,15,4,1.0,7.149326,13.3815,0.907895,28.327589,0.908497,27.68016
0.02,500,0.2,0.8,15,5,0.8,7.936185,12.0455,0.894737,28.626154,0.921569,27.917886
0.02,500,0.2,0.8,15,5,0.9,7.679654,12.0212,0.894737,28.283646,0.934641,27.380497
0.02,500,0.2,0.8,15,5,1.0,7.763631,12.2152,0.914474,28.572211,0.915033,27.742464
0.02,500,0.2,0.8,18,4,0.8,8.061873,12.6914,0.921053,29.680721,0.941176,28.815177
0.02,500,0.2,0.8,18,4,0.9,7.511335,12.7536,0.901316,28.525822,0.928105,27.776231
0.02,500,0.2,0.8,18,4,1.0,7.357499,13.0633,0.901316,28.717297,0.921569,27.778311
0.02,500,0.2,0.8,18,5,0.8,7.996995,12.144,0.907895,28.966626,0.915033,28.138001
0.02,500,0.2,0.8,18,5,0.9,8.281867,12.1175,0.907895,29.601171,0.941176,28.681193
0.02,500,0.2,0.8,18,5,1.0,7.166808,12.3179,0.901316,27.786518,0.895425,26.65152
0.02,500,0.2,0.8,20,4,0.8,7.445194,12.7541,0.914474,28.438542,0.915033,27.644453
0.02,500,0.2,0.8,20,4,0.9,7.621501,12.7547,0.907895,28.861856,0.934641,27.997671
0.02,500,0.2,0.8,20,4,1.0,7.427464,13.057,0.901316,28.630711,0.915033,27.911952
0.02,500,0.2,0.8,20,5,0.8,8.363924,12.0649,0.927632,29.634768,0.947712,28.79271
0.02,500,0.2,0.8,20,5,0.9,7.828585,12.2009,0.907895,28.774372,0.921569,27.858105
0.02,500,0.2,0.8,20,5,1.0,7.998369,12.2275,0.901316,29.392246,0.934641,28.224223
0.02,500,0.2,0.8,22,4,0.8,7.96542,12.776,0.927632,29.497539,0.934641,28.706821
0.02,500,0.2,0.8,22,4,0.9,7.541249,12.8113,0.914474,28.691831,0.921569,27.893808
0.02,500,0.2,0.8,22,4,1.0,7.546162,13.0418,0.907895,28.929261,0.941176,28.134147
0.02,500,0.2,0.8,22,5,0.8,8.07687,12.2093,0.914474,29.066908,0.934641,28.363024
0.02,500,0.2,0.8,22,5,0.9,7.572231,12.2649,0.907895,28.223141,0.915033,27.409409
0.02,500,0.2,0.8,22,5,1.0,7.111943,12.4956,0.907895,27.696472,0.901961,26.719522
0.02,500,0.2,0.8,25,4,0.8,7.687725,12.8213,0.907895,28.914292,0.928105,28.196795
0.02,500,0.2,0.8,25,4,0.9,8.022248,12.8685,0.921053,29.60804,0.941176,28.913037
0.02,500,0.2,0.8,25,4,1.0,7.234302,13.219,0.914474,28.295006,0.928105,27.687637
0.02,500,0.2,0.8,25,5,0.8,8.221185,12.3517,0.914474,29.464442,0.941176,28.79404
0.02,500,0.2,0.8,25,5,0.9,8.053775,12.36,0.914474,29.249956,0.947712,28.467506
0.02,500,0.2,0.8,25,5,1.0,7.736582,12.4399,0.927632,28.725474,0.934641,27.913096
0.02,500,0.2,0.8,30,4,0.8,7.975602,12.9325,0.921053,29.567006,0.941176,28.883705
0.02,500,0.2,0.8,30,4,0.9,8.064714,13.067,0.914474,29.89559,0.934641,29.196466
0.02,500,0.2,0.8,30,4,1.0,7.859325,13.3375,0.914474,29.570861,0.928105,29.056165
0.02,500,0.2,0.8,30,5,0.8,8.125042,12.4539,0.914474,29.300282,0.947712,28.704023
0.02,500,0.2,0.8,30,5,0.9,7.956565,12.5422,0.901316,29.049377,0.941176,28.455328
0.02,500,0.2,0.8,30,5,1.0,7.758601,12.7283,0.901316,29.004614,0.934641,28.245522
0.02,550,0.15,0.85,15,4,0.8,5.126533,15.2805,0.901316,26.614822,0.875817,25.533588
0.02,550,0.15,0.85,15,4,0.9,5.789329,15.4761,0.927632,27.964442,0.921569,27.054784
0.02,550,0.15,0.85,15,4,1.0,5.414869,15.8102,0.914474,27.596723,0.908497,26.639898
0.02,550,0.15,0.85,15,5,0.8,6.538283,14.2083,0.921053,28.418148,0.915033,27.284817
0.02,550,0.15,0.85,15,5,0.9,6.000791,14.4555,0.907895,27.420567,0.908497,26.457111
0.02,550,0.15,0.85,15,5,1.0,5.688803,15.1211,0.907895,27.490793,0.915033,26.498657
0.02,550,0.15,0.85,18,4,0.8,5.363552,15.4774,0.914474,27.215545,0.908497,26.204524
0.02,550,0.15,0.85,18,4,0.9,4.911279,15.795,0.901316,26.528509,0.895425,25.617567
0.02,550,0.15,0.85,18,4,1.0,5.15892,15.9904,0.914474,27.292428,0.908497,26.308233
