min_samples_leaf,max_depth,n_estimators,subsample,tau_lo,tau_hi,q_hat,base_w_cal,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
1,3,200,1.0,0.025,0.975,0.82187,32.78,33.1809,0.941176,34.668122,0.956098,34.824602
1,3,200,1.0,0.1,0.9,5.830526,20.5417,21.1905,0.941176,32.446145,0.946341,32.85158
1,3,200,0.8,0.025,0.975,1.080594,31.2076,31.5079,0.941176,33.667594,0.941463,33.669057
1,3,200,0.8,0.1,0.9,5.956134,20.3323,21.1849,0.931373,32.472332,0.941463,33.097176
1,3,300,1.0,0.025,0.975,0.822754,32.7574,33.1586,0.941176,34.6606,0.956098,34.804144
1,3,300,1.0,0.1,0.9,6.03095,20.1127,20.8008,0.941176,32.487155,0.936585,32.862651
1,3,300,0.8,0.025,0.975,1.180174,30.7115,31.0527,0.941176,33.23374,0.941463,33.413021
1,3,300,0.8,0.1,0.9,5.755313,19.9361,20.7753,0.931373,31.670568,0.936585,32.28588
1,4,200,1.0,0.025,0.975,1.418737,32.8418,32.858,0.95098,35.811518,0.965854,35.695433
1,4,200,1.0,0.1,0.9,6.117017,19.486,19.9109,0.936275,31.806013,0.931707,32.144985
1,4,200,0.8,0.025,0.975,1.351672,30.426,30.8371,0.946078,33.298055,0.946341,33.540472
1,4,200,0.8,0.1,0.9,6.881908,19.1787,19.8148,0.936275,33.126635,0.931707,33.57859
1,4,300,1.0,0.025,0.975,1.371074,32.548,32.4952,0.941176,35.363248,0.960976,35.237321
1,4,300,1.0,0.1,0.9,6.400833,19.2154,19.6871,0.936275,32.172764,0.941463,32.488739
1,4,300,0.8,0.025,0.975,1.450744,30.0985,30.4959,0.95098,33.101812,0.956098,33.397435
1,4,300,0.8,0.1,0.9,7.056635,18.9286,19.585,0.936275,33.24667,0.931707,33.698234
1,5,200,1.0,0.025,0.975,1.242437,31.0892,31.4108,0.931373,33.553854,0.95122,33.895658
1,5,200,1.0,0.1,0.9,6.505114,18.7123,19.3403,0.926471,31.847636,0.936585,32.350506
1,5,200,0.8,0.025,0.975,1.425567,29.9655,30.259,0.946078,33.025118,0.941463,33.110131
1,5,200,0.8,0.1,0.9,6.000873,18.6534,19.2469,0.931373,30.706137,0.921951,31.248638
1,5,300,1.0,0.025,0.975,1.244692,30.4661,30.6997,0.921569,32.85938,0.936585,33.189063
1,5,300,1.0,0.1,0.9,6.589165,18.5285,19.203,0.926471,31.833167,0.926829,32.381299
1,5,300,0.8,0.025,0.975,1.39853,29.594,29.9016,0.921569,32.523834,0.931707,32.698612
1,5,300,0.8,0.1,0.9,6.58306,18.2578,18.9632,0.931373,31.582763,0.931707,32.129341
5,3,200,1.0,0.025,0.975,1.25333,30.9,31.7559,0.946078,33.903951,0.946341,34.262594
5,3,200,1.0,0.1,0.9,5.687559,19.8388,20.1142,0.926471,31.235868,0.926829,31.489294
5,3,200,0.8,0.025,0.975,1.57562,30.4531,31.1599,0.931373,33.898048,0.965854,34.311172
5,3,200,0.8,0.1,0.9,5.86243,19.6627,20.5556,0.931373,31.654948,0.936585,32.280463
5,3,300,1.0,0.025,0.975,1.462771,30.6899,31.5659,0.946078,34.090744,0.946341,34.491485
5,3,300,1.0,0.1,0.9,6.07875,19.3888,19.6557,0.926471,31.587404,0.936585,31.813231
5,3,300,0.8,0.025,0.975,1.857278,29.9777,30.7718,0.931373,33.928689,0.965854,34.486403
5,3,300,0.8,0.1,0.9,6.072026,18.9995,19.86,0.926471,31.278787,0.941463,32.004091
5,4,200,1.0,0.025,0.975,1.476866,30.9053,31.539,0.95098,34.278301,0.970732,34.49274
5,4,200,1.0,0.1,0.9,5.941347,19.3787,19.4936,0.936275,31.203872,0.917073,31.376255
5,4,200,0.8,0.025,0.975,1.787018,29.3362,29.9324,0.946078,33.236997,0.946341,33.506404
5,4,200,0.8,0.1,0.9,6.514121,18.8265,19.4744,0.926471,32.050785,0.941463,32.502677
5,4,300,1.0,0.025,0.975,1.696337,30.7254,31.3248,0.95098,34.467999,0.970732,34.717445
5,4,300,1.0,0.1,0.9,5.815872,18.959,19.0967,0.916667,30.486641,0.917073,30.728492
5,4,300,0.8,0.025,0.975,1.954046,28.638,29.2384,0.926471,32.745759,0.941463,33.146502
5,4,300,0.8,0.1,0.9,6.799885,18.1562,18.7465,0.926471,31.895965,0.941463,32.346254
5,5,200,1.0,0.025,0.975,1.507383,29.6717,30.5605,0.946078,33.097837,0.956098,33.575276
5,5,200,1.0,0.1,0.9,6.451685,18.5441,18.5099,0.931373,31.067469,0.921951,31.413293
5,5,200,0.8,0.025,0.975,2.257349,28.4493,29.2009,0.946078,33.216647,0.956098,33.715592
5,5,200,0.8,0.1,0.9,7.601866,17.8497,18.2151,0.921569,33.01718,0.931707,33.418811
5,5,300,1.0,0.025,0.975,1.620066,29.0659,30.0309,0.941176,32.654277,0.95122,33.271027
5,5,300,1.0,0.1,0.9,6.574883,17.9432,17.8775,0.921569,30.657799,0.917073,31.027254
5,5,300,0.8,0.025,0.975,2.256966,27.8827,28.6551,0.946078,32.476104,0.956098,33.169082
5,5,300,0.8,0.1,0.9,7.996299,17.1811,17.5791,0.911765,33.143989,0.931707,33.571734
10,3,200,1.0,0.025,0.975,1.556459,30.5633,31.413,0.955882,34.009901,0.965854,34.525938
10,3,200,1.0,0.1,0.9,5.662047,19.9407,20.5011,0.936275,31.263255,0.931707,31.825223
10,3,200,0.8,0.025,0.975,2.042987,29.7235,30.5848,0.946078,34.150575,0.956098,34.670763
10,3,200,0.8,0.1,0.9,6.180551,19.4118,20.0535,0.931373,32.004013,0.931707,32.414595
10,3,300,1.0,0.025,0.975,1.841405,30.3443,31.1734,0.95098,34.317537,0.970732,34.856246
10,3,300,1.0,0.1,0.9,5.673672,19.5547,20.0745,0.931373,30.886966,0.917073,31.421866
10,3,300,0.8,0.025,0.975,2.478609,29.0066,29.9091,0.941176,34.126571,0.960976,34.866361
10,3,300,0.8,0.1,0.9,6.186179,18.8789,19.5081,0.931373,31.445809,0.921951,31.880506
10,4,200,1.0,0.025,0.975,1.644294,29.8428,30.8222,0.936275,33.263428,0.95122,34.110812
10,4,200,1.0,0.1,0.9,5.737917,19.2498,19.254,0.916667,30.618106,0.926829,30.729827
10,4,200,0.8,0.025,0.975,1.740081,28.9728,29.6906,0.936275,32.693988,0.941463,33.170791
10,4,200,0.8,0.1,0.9,6.56746,18.4956,19.0184,0.931373,31.660508,0.931707,32.153281
10,4,300,1.0,0.025,0.975,1.742051,28.9154,30.0442,0.931373,32.496075,0.931707,33.528346
10,4,300,1.0,0.1,0.9,5.72006,18.9595,18.9541,0.911765,30.197313,0.921951,30.394221
10,4,300,0.8,0.025,0.975,1.975067,28.5314,29.2671,0.941176,32.658057,0.946341,33.217218
10,4,300,0.8,0.1,0.9,6.485056,17.8435,18.3643,0.921569,30.817089,0.931707,31.334412
10,5,200,1.0,0.025,0.975,1.857706,28.877,29.7948,0.941176,33.038486,0.956098,33.510259
10,5,200,1.0,0.1,0.9,6.461166,18.2745,18.6834,0.921569,30.976568,0.931707,31.605708
10,5,200,0.8,0.025,0.975,2.250121,27.8033,28.5954,0.936275,32.51099,0.931707,33.095679
10,5,200,0.8,0.1,0.9,6.174819,17.8722,18.579,0.921569,30.259702,0.931707,30.928673
10,5,300,1.0,0.025,0.975,2.145639,27.8333,28.7843,0.931373,32.479455,0.95122,33.075554
10,5,300,1.0,0.1,0.9,6.819597,17.9453,18.3855,0.926471,31.335295,0.926829,32.024718
10,5,300,0.8,0.025,0.975,2.92118,26.8559,27.6307,0.936275,32.806274,0.941463,33.473012
10,5,300,0.8,0.1,0.9,6.562507,17.09,17.7891,0.916667,30.220588,0.917073,30.914105
