min_samples_leaf,max_depth,n_estimators,subsample,tau_lo,tau_hi,q_hat,base_w_cal,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
1,3,200,1.0,0.025,0.975,1.061536,34.376,33.7105,0.947368,36.98715,0.947712,35.833537
1,3,200,1.0,0.1,0.9,5.690835,22.6063,21.2579,0.953947,33.938003,0.941176,32.63953
1,3,200,0.8,0.025,0.975,1.896018,32.7515,32.0567,0.953947,36.983473,0.934641,35.848701
1,3,200,0.8,0.1,0.9,5.5771,22.6059,21.0863,0.953947,33.575335,0.954248,32.240498
1,3,300,1.0,0.025,0.975,1.05655,34.375,33.7108,0.947368,36.976786,0.947712,35.823912
1,3,300,1.0,0.1,0.9,5.958424,22.2468,20.872,0.947368,34.002009,0.934641,32.788815
1,3,300,0.8,0.025,0.975,2.121786,32.1432,31.4974,0.953947,36.896796,0.947712,35.741017
1,3,300,0.8,0.1,0.9,5.4464,22.3719,20.7764,0.953947,32.978522,0.954248,31.669185
1,4,200,1.0,0.025,0.975,1.751493,33.0292,32.2483,0.960526,37.059547,0.954248,35.751293
1,4,200,1.0,0.1,0.9,6.030706,21.9935,20.4897,0.940789,33.807455,0.954248,32.551136
1,4,200,0.8,0.025,0.975,2.102514,31.17,30.262,0.953947,35.833236,0.934641,34.466986
1,4,200,0.8,0.1,0.9,5.578442,21.5086,19.8762,0.960526,32.459485,0.941176,31.033098
1,4,300,1.0,0.025,0.975,1.799323,32.7555,32.033,0.967105,36.95,0.960784,35.631623
1,4,300,1.0,0.1,0.9,6.021122,21.7226,20.1099,0.940789,33.427677,0.954248,32.152135
1,4,300,0.8,0.025,0.975,2.521747,30.2138,29.2456,0.947368,35.678801,0.941176,34.289049
1,4,300,0.8,0.1,0.9,5.627067,21.2271,19.5227,0.947368,32.158996,0.934641,30.776867
1,5,200,1.0,0.025,0.975,1.476024,31.7817,30.8735,0.947368,35.422592,0.947712,33.82552
1,5,200,1.0,0.1,0.9,5.832078,21.3939,19.8606,0.940789,32.657677,0.947712,31.524726
1,5,200,0.8,0.025,0.975,2.506728,30.4298,29.625,0.953947,35.960291,0.928105,34.638499
1,5,200,0.8,0.1,0.9,5.58334,20.4377,19.078,0.934211,31.323302,0.954248,30.244681
1,5,300,1.0,0.025,0.975,1.745695,31.2923,30.4428,0.947368,35.447691,0.947712,33.934187
1,5,300,1.0,0.1,0.9,6.441643,21.0175,19.5027,0.940789,33.466838,0.947712,32.386031
1,5,300,0.8,0.025,0.975,2.484888,29.5495,28.7014,0.934211,35.058403,0.921569,33.671159
1,5,300,0.8,0.1,0.9,5.584611,20.0073,18.6095,0.927632,30.721012,0.947712,29.778699
5,3,200,1.0,0.025,0.975,0.723372,32.7764,31.398,0.947368,34.66011,0.921569,32.844782
5,3,200,1.0,0.1,0.9,6.430571,22.3763,20.732,0.960526,35.187434,0.954248,33.593137
5,3,200,0.8,0.025,0.975,2.117616,31.5023,30.2874,0.967105,36.046671,0.941176,34.522631
5,3,200,0.8,0.1,0.9,5.402991,21.8072,20.209,0.953947,32.70214,0.960784,31.015026
5,3,300,1.0,0.025,0.975,0.734035,32.4126,30.9535,0.947368,34.337323,0.908497,32.421542
5,3,300,1.0,0.1,0.9,7.131564,21.8528,20.1298,0.960526,35.895991,0.960784,34.392881
5,3,300,0.8,0.025,0.975,2.345792,30.7291,29.4595,0.967105,35.678501,0.928105,34.151099
5,3,300,0.8,0.1,0.9,5.395695,21.2015,19.505,0.947368,31.846003,0.947712,30.296348
5,4,200,1.0,0.025,0.975,1.880737,31.158,29.9641,0.947368,35.501731,0.934641,33.725607
5,4,200,1.0,0.1,0.9,6.00316,21.4689,19.6937,0.953947,33.327508,0.947712,31.70003
5,4,200,0.8,0.025,0.975,2.60529,29.9028,28.8591,0.973684,35.478406,0.934641,34.069672
5,4,200,0.8,0.1,0.9,5.829944,20.5751,18.9026,0.953947,31.91117,0.947712,30.562476
5,4,300,1.0,0.025,0.975,2.04851,30.1092,28.8908,0.947368,34.62064,0.934641,32.987863
5,4,300,1.0,0.1,0.9,6.233244,21.05,19.1508,0.947368,33.225482,0.947712,31.617336
5,4,300,0.8,0.025,0.975,2.882864,28.9782,27.9449,0.973684,34.970822,0.934641,33.710661
5,4,300,0.8,0.1,0.9,6.227029,19.9716,18.1601,0.953947,31.954251,0.960784,30.614184
5,5,200,1.0,0.025,0.975,1.057018,30.0461,28.6709,0.940789,32.489099,0.895425,30.784913
5,5,200,1.0,0.1,0.9,6.865447,20.1651,18.1434,0.947368,33.358348,0.947712,31.874249
5,5,200,0.8,0.025,0.975,3.103559,28.177,27.0097,0.947368,34.70653,0.941176,33.21683
5,5,200,0.8,0.1,0.9,6.456746,19.4082,17.5998,0.947368,32.022283,0.947712,30.513313
5,5,300,1.0,0.025,0.975,1.925908,29.2514,27.8493,0.940789,33.288761,0.915033,31.701133
5,5,300,1.0,0.1,0.9,7.020044,19.6086,17.5367,0.947368,33.115485,0.947712,31.576814
5,5,300,0.8,0.025,0.975,4.205912,27.1796,26.0299,0.960526,35.869309,0.960784,34.441707
5,5,300,0.8,0.1,0.9,6.93206,18.6414,16.7827,0.947368,32.092444,0.954248,30.646847
10,3,200,1.0,0.025,0.975,1.915594,32.321,31.5556,0.960526,36.857678,0.941176,35.386813
10,3,200,1.0,0.1,0.9,5.787651,21.9323,20.5638,0.960526,33.365568,0.954248,32.139092
10,3,200,0.8,0.025,0.975,2.515319,31.0858,30.0381,0.967105,36.440782,0.960784,35.068748
10,3,200,0.8,0.1,0.9,5.47401,21.4225,20.0738,0.947368,32.315112,0.954248,31.021784
10,3,300,1.0,0.025,0.975,2.415546,30.9658,30.1838,0.967105,36.193164,0.941176,35.014842
10,3,300,1.0,0.1,0.9,6.055299,21.2315,19.8139,0.953947,32.878156,0.960784,31.924449
10,3,300,0.8,0.025,0.975,2.032157,29.9971,28.8796,0.953947,34.323698,0.941176,32.943924
10,3,300,0.8,0.1,0.9,5.597427,20.8512,19.4664,0.947368,31.943009,0.954248,30.661237
10,4,200,1.0,0.025,0.975,2.111711,30.1687,29.2716,0.953947,34.805024,0.941176,33.49504
10,4,200,1.0,0.1,0.9,5.88931,21.0808,19.7525,0.940789,32.612914,0.941176,31.531089
10,4,200,0.8,0.025,0.975,2.093596,29.5476,28.3201,0.947368,33.876957,0.928105,32.50726
10,4,200,0.8,0.1,0.9,6.052885,20.2154,18.6813,0.960526,32.063162,0.941176,30.787093
10,4,300,1.0,0.025,0.975,2.804746,29.4878,28.5885,0.947368,35.419378,0.947712,34.19796
10,4,300,1.0,0.1,0.9,6.134338,20.3835,19.0807,0.940789,32.355525,0.947712,31.34934
10,4,300,0.8,0.025,0.975,2.387656,28.833,27.5765,0.947368,33.735975,0.934641,32.351853
10,4,300,0.8,0.1,0.9,6.506279,19.4767,17.9032,0.953947,32.066401,0.947712,30.915758
10,5,200,1.0,0.025,0.975,2.686133,29.165,28.253,0.967105,34.790882,0.934641,33.625273
10,5,200,1.0,0.1,0.9,6.095287,19.8794,18.126,0.960526,31.483574,0.934641,30.316573
10,5,200,0.8,0.025,0.975,3.110831,28.6659,27.3141,0.953947,35.186757,0.947712,33.535735
10,5,200,0.8,0.1,0.9,6.587401,19.2789,17.7388,0.947368,32.230228,0.954248,30.913575
10,5,300,1.0,0.025,0.975,2.807704,28.2657,27.2977,0.953947,34.026364,0.934641,32.913152
10,5,300,1.0,0.1,0.9,6.454964,19.2386,17.4789,0.947368,31.523938,0.941176,30.388848
10,5,300,0.8,0.025,0.975,3.426781,27.6879,26.2432,0.953947,34.823509,0.954248,33.096736
10,5,300,0.8,0.1,0.9,7.122259,18.5744,16.9594,0.953947,32.507154,0.954248,31.203968
20,3,200,1.0,0.025,0.975,2.125496,31.3033,30.1153,0.967105,35.894522,0.947712,34.366263
20,3,200,1.0,0.1,0.9,4.851776,21.9261,20.6388,0.947368,31.565538,0.947712,30.342378
20,3,200,0.8,0.025,0.975,2.213295,30.9534,29.9075,0.960526,35.634872,0.941176,34.334091
20,3,200,0.8,0.1,0.9,5.789208,21.588,20.1596,0.967105,32.999977,0.954248,31.737965
20,3,300,1.0,0.025,0.975,2.393878,30.5751,29.4106,0.967105,35.630403,0.947712,34.198353
