params.C,params.gamma,val.PICP,val.MPIW,test.PICP,test.MPIW
64,3.0517578125e-05,0.980392,43.440341,0.980488,43.439107
64,6.103515625e-05,0.980392,43.414018,0.980488,43.411551
64,0.0001220703125,0.980392,43.344762,0.980488,43.339923
64,0.000244140625,0.980392,43.197147,0.980488,43.187868
64,0.00048828125,0.980392,42.870268,0.980488,42.8558
64,0.0009765625,0.980392,42.243701,0.980488,42.233736
64,0.001953125,0.980392,41.725282,0.97561,41.726566
64,0.00390625,0.980392,40.614914,0.965854,40.625137
64,0.0078125,0.97549,39.9646,0.965854,40.077929
64,0.015625,0.97549,39.036269,0.960976,39.256047
64,0.03125,0.970588,38.056565,0.960976,38.405599
64,0.0625,0.960784,37.050964,0.956098,37.54148
64,0.125,0.960784,36.272049,0.960976,36.882693
64,0.25,0.946078,34.407548,0.956098,35.325841
64,0.5,0.926471,33.099513,0.956098,34.220294
64,1.0,0.916667,32.035122,0.95122,33.520114
64,2.0,0.897059,31.154721,0.95122,33.072928
64,4.0,0.892157,29.124935,0.936585,31.284022
64,8.0,0.852941,26.747572,0.902439,29.071607
64,16.0,0.818627,23.808592,0.853659,25.802309
64,32.0,0.735294,21.660378,0.780488,23.529772
64,64.0,0.691176,19.360282,0.717073,20.895777
64,128.0,0.534314,16.816444,0.590244,17.67007
64,256.0,0.397059,13.746621,0.439024,14.577062
64,512.0,0.294118,10.521704,0.292683,11.788228
64,1024.0,0.166667,7.392347,0.234146,8.700795
64,2048.0,0.083333,4.757297,0.141463,5.710853
64,4096.0,0.068627,2.873052,0.087805,3.469266
64,8192.0,0.014706,1.565525,0.053659,2.037649
64,16384.0,0.004902,0.759869,0.029268,1.148718
64,32768.0,0.0,0.364697,0.02439,0.647899
