C,C_exp,gamma,gamma_exp,val_PICP,val_MPIW,test_PICP,test_MPIW
16,4,0.00390625,-8,0.980392,41.925325,0.97561,41.886369
16,4,0.0078125,-7,0.97549,41.048556,0.97561,41.005129
16,4,0.015625,-6,0.970588,39.777168,0.97561,39.830167
16,4,0.03125,-5,0.97549,39.187225,0.980488,39.360747
16,4,0.0625,-4,0.970588,37.734966,0.970732,38.122894
16,4,0.125,-3,0.965686,36.383509,0.965854,37.010983
16,4,0.25,-2,0.965686,34.895023,0.965854,35.735995
16,4,0.5,-1,0.95098,33.091179,0.970732,34.11688
16,4,1.0,0,0.946078,31.84828,0.960976,33.170785
16,4,2.0,1,0.906863,30.773443,0.931707,32.171808
16,4,4.0,2,0.892157,28.98048,0.907317,30.640208
16,4,8.0,3,0.852941,26.494032,0.882927,28.290124
16,4,16.0,4,0.764706,23.638258,0.8,25.155688
64,6,0.00390625,-8,0.970588,40.05291,0.97561,40.098921
64,6,0.0078125,-7,0.97549,39.375431,0.980488,39.524106
64,6,0.015625,-6,0.97549,38.06721,0.970732,38.386186
64,6,0.03125,-5,0.965686,36.670331,0.965854,37.199493
64,6,0.0625,-4,0.965686,36.15623,0.970732,36.76293
64,6,0.125,-3,0.955882,34.501765,0.965854,35.253089
64,6,0.25,-2,0.955882,32.969645,0.970732,33.940799
64,6,0.5,-1,0.936275,32.029229,0.965854,33.183679
64,6,1.0,0,0.941176,31.004649,0.965854,32.399125
64,6,2.0,1,0.911765,29.066726,0.95122,30.905168
64,6,4.0,2,0.882353,26.661806,0.912195,28.91766
64,6,8.0,3,0.808824,23.415363,0.84878,25.870132
64,6,16.0,4,0.740196,20.654324,0.765854,22.502648
256,8,0.00390625,-8,0.980392,38.113311,0.970732,38.439366
256,8,0.0078125,-7,0.965686,36.871431,0.965854,37.375807
256,8,0.015625,-6,0.970588,36.52101,0.960976,37.100999
256,8,0.03125,-5,0.965686,35.799363,0.960976,36.453692
256,8,0.0625,-4,0.946078,34.443717,0.97561,35.218573
256,8,0.125,-3,0.955882,32.920141,0.970732,33.901186
256,8,0.25,-2,0.941176,32.166436,0.970732,33.266835
256,8,0.5,-1,0.936275,31.048691,0.960976,32.18631
256,8,1.0,0,0.926471,29.036964,0.956098,30.774245
256,8,2.0,1,0.882353,26.610691,0.931707,29.061296
256,8,4.0,2,0.823529,23.004461,0.873171,25.802572
256,8,8.0,3,0.754902,19.609882,0.77561,21.871145
256,8,16.0,4,0.70098,16.01614,0.658537,17.042044
1024,10,0.00390625,-8,0.970588,36.612022,0.965854,37.194601
1024,10,0.0078125,-7,0.965686,36.06503,0.960976,36.682916
1024,10,0.015625,-6,0.970588,35.717052,0.970732,36.472901
1024,10,0.03125,-5,0.946078,34.384944,0.97561,35.162646
1024,10,0.0625,-4,0.955882,33.020401,0.970732,34.019164
1024,10,0.125,-3,0.941176,32.218437,0.970732,33.279335
1024,10,0.25,-2,0.936275,31.383209,0.960976,32.364827
1024,10,0.5,-1,0.936275,29.518497,0.956098,31.101035
1024,10,1.0,0,0.887255,27.384175,0.926829,29.75633
1024,10,2.0,1,0.843137,24.003767,0.882927,26.911184
1024,10,4.0,2,0.75,20.289677,0.82439,23.226133
1024,10,8.0,3,0.647059,16.611989,0.692683,18.115388
1024,10,16.0,4,0.509804,11.614965,0.517073,12.855795
