C,C_exp,gamma,gamma_exp,val_PICP,val_MPIW,test_PICP,test_MPIW
16,4,0.00390625,-8,0.967105,41.919758,0.954248,41.930937
16,4,0.0078125,-7,0.960526,41.181984,0.941176,41.175242
16,4,0.015625,-6,0.960526,40.198254,0.941176,40.143141
16,4,0.03125,-5,0.967105,39.782962,0.960784,39.653159
16,4,0.0625,-4,0.947368,38.82098,0.954248,38.643002
16,4,0.125,-3,0.934211,38.030156,0.960784,37.753418
16,4,0.25,-2,0.927632,36.760729,0.928105,36.381109
16,4,0.5,-1,0.927632,35.604486,0.928105,35.11523
16,4,1.0,0,0.940789,33.597849,0.928105,33.111753
16,4,2.0,1,0.927632,31.281331,0.888889,30.875315
16,4,4.0,2,0.868421,28.291907,0.856209,28.035177
16,4,8.0,3,0.815789,26.185246,0.843137,26.200627
16,4,16.0,4,0.789474,24.012455,0.764706,24.153848
64,6,0.00390625,-8,0.960526,40.518575,0.947712,40.466184
64,6,0.0078125,-7,0.967105,40.264189,0.960784,40.15058
64,6,0.015625,-6,0.953947,39.380625,0.954248,39.218042
64,6,0.03125,-5,0.940789,38.685365,0.960784,38.471653
64,6,0.0625,-4,0.934211,37.888797,0.954248,37.557424
64,6,0.125,-3,0.927632,36.34953,0.921569,35.94864
64,6,0.25,-2,0.927632,35.400923,0.915033,34.88397
64,6,0.5,-1,0.934211,33.660751,0.908497,33.056764
64,6,1.0,0,0.921053,31.87184,0.895425,31.243291
64,6,2.0,1,0.901316,28.903028,0.875817,28.324274
64,6,4.0,2,0.875,26.304916,0.823529,25.798397
64,6,8.0,3,0.815789,23.678554,0.823529,23.259431
64,6,16.0,4,0.703947,20.796218,0.69281,20.595406
256,8,0.00390625,-8,0.953947,39.575766,0.954248,39.399791
256,8,0.0078125,-7,0.940789,38.84079,0.960784,38.64585
256,8,0.015625,-6,0.934211,38.10943,0.960784,37.852862
256,8,0.03125,-5,0.927632,36.922886,0.941176,36.674392
256,8,0.0625,-4,0.921053,36.237498,0.915033,35.914863
256,8,0.125,-3,0.927632,34.919381,0.921569,34.45679
256,8,0.25,-2,0.934211,33.521074,0.901961,32.780305
256,8,0.5,-1,0.921053,31.664822,0.895425,31.111687
256,8,1.0,0,0.894737,29.26958,0.888889,28.880353
256,8,2.0,1,0.894737,26.820695,0.849673,26.366912
256,8,4.0,2,0.828947,23.982751,0.803922,23.795627
256,8,8.0,3,0.717105,20.02345,0.72549,19.783112
256,8,16.0,4,0.625,15.927865,0.607843,15.702703
1024,10,0.00390625,-8,0.934211,38.170078,0.960784,37.935349
1024,10,0.0078125,-7,0.927632,37.211524,0.947712,37.006268
1024,10,0.015625,-6,0.927632,36.69426,0.928105,36.41174
1024,10,0.03125,-5,0.921053,36.239616,0.908497,35.927907
1024,10,0.0625,-4,0.921053,34.897068,0.915033,34.493863
1024,10,0.125,-3,0.927632,33.507266,0.908497,32.756346
1024,10,0.25,-2,0.921053,31.70693,0.895425,31.197066
1024,10,0.5,-1,0.914474,29.682473,0.882353,29.319467
1024,10,1.0,0,0.888158,27.597239,0.836601,27.309969
1024,10,2.0,1,0.875,24.70906,0.816993,24.800694
1024,10,4.0,2,0.75,21.238477,0.705882,20.960294
1024,10,8.0,3,0.611842,16.781447,0.660131,16.363704
1024,10,16.0,4,0.453947,11.948676,0.503268,11.960764
